x_transformed,x_real,Operator_mean_real,Operator_std_real,Operator_upper_real,Operator_lower_real,Operator_weight_mean,Operator_weight_min,Operator_weight_max,Operator_iterations,Operator_between_variance_norm,Operator_within_variance_norm,Operator_within_variance_real
-1.1,0.07943282247242814,-0.031215977595012614,5.275683279618082e-06,-0.03120563744579072,-0.031226317744234507,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0917835671342686,0.08094992067275816,-0.03129835911710524,5.235134314737067e-06,-0.03128809844239413,-0.03130861979181635,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0835671342685371,0.08249599413606928,-0.03137549089307445,5.200015510675393e-06,-0.03136529904995447,-0.03138568273619442,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0753507014028056,0.08407159626481406,-0.03144705709854657,5.170606734201654e-06,-0.03143692289556931,-0.03145719130152382,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0671342685370742,0.08567729103095306,-0.03151272938735972,5.1471513973562225e-06,-0.03150264115599792,-0.03152281761872151,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.058917835671343,0.08731365317782327,-0.03157216637071022,5.129848227577541e-06,-0.03156211205293801,-0.031582220688482425,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0507014028056114,0.0889812684258623,-0.03162501295996332,5.118843083570324e-06,-0.03161498021187701,-0.031635045708049626,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.04248496993988,0.09068073368226119,-0.03167089949691732,5.11422112471812e-06,-0.0316608758077039,-0.03168092318613074,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0342685370741485,0.09241265725462187,-0.0317095299679982,5.115894201563256e-06,-0.03169950299961442,-0.03171955693638198,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.026052104208417,0.09417765906869519,-0.0317411262413547,5.123094235325939e-06,-0.03173108516116406,-0.03175116732154534,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0178356713426857,0.09597637089027737,-0.0317660921615851,5.134829166667207e-06,-0.03175602808135167,-0.03177615624181854,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.009619238476954,0.09780943655134493,-0.03178481707490166,5.150141311720675e-06,-0.031774722983415396,-0.031794911166387926,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-1.0014028056112223,0.09967751218050783,-0.03179767644975752,5.168120612274727e-06,-0.0317875471194897,-0.03180780578002534,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.993186372745491,0.10158126643786476,-0.031805032594581166,5.187914530793277e-06,-0.03179486446894594,-0.031815200720216395,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9849699398797596,0.10352138075434403,-0.03180723520430557,5.208735191756042e-06,-0.03179702627092472,-0.03181744413768642,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9767535070140282,0.10549854957561482,-0.03180462180770202,5.22986411405734e-06,-0.03179437146239443,-0.03181487215300961,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9685370741482968,0.10751348061065784,-0.0317975181682228,5.2506549535853836e-06,-0.03178722707361853,-0.03180780926282707,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9603206412825652,0.10956689508508306,-0.03178623866672064,5.27053467454853e-06,-0.031775908608579255,-0.03179656872486202,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.952104208416834,0.11165952799928533,-0.031771086677030214,5.289003531961619e-06,-0.03176072042059346,-0.031781452933466965,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9438877755511024,0.11379212839153145,-0.03175235493626176,5.3056341973647755e-06,-0.03174195608431978,-0.031762753788203736,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9356713426853708,0.11596545960607073,-0.031730325908283404,5.3200703042654194e-06,-0.031719898762091824,-0.031740753054474984,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9274549098196394,0.11818029956636722,-0.0317052721384697,5.332024634001957e-06,-0.03169482156222238,-0.03171572271471702,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.919238476953908,0.12043744105355014,-0.03167745659845146,5.341277110043463e-06,-0.03166698788768433,-0.031687925309218594,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.9110220440881764,0.12273769199018238,-0.031647133020361796,5.3476727209791885e-06,-0.03163665177442757,-0.03165761426629602,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.902805611222445,0.12508187572944854,-0.03161454622059099,5.351119450180901e-06,-0.03160405821919166,-0.03162503422199032,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8945891783567136,0.12747083134986675,-0.03157993241332244,5.351586253059234e-06,-0.03156944349700628,-0.031590421329638595,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8863727454909821,0.12990541395562896,-0.031543519514209556,5.349101090226148e-06,-0.03153303546872305,-0.031554003559696064,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8781563126252506,0.13238649498267718,-0.03150552743454604,5.34374899576141e-06,-0.03149505387897193,-0.031516000990120155,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8699398797595191,0.1349149625106259,-0.031466168366243705,5.335670133197404e-06,-0.03145571064494925,-0.03147662608753816,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8617234468937878,0.1374917215806419,-0.03142564705788385,5.325057766951377e-06,-0.031415210136445035,-0.03143608397932267,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8535070140280563,0.14011769451939524,-0.03138416108205686,5.312156053154547e-06,-0.03137374944751242,-0.0313945727166013,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8452905811623248,0.14279382126919726,-0.03134190109417027,5.297257530895297e-06,-0.03133151866019288,-0.03135228352814765,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8370741482965933,0.14552105972444415,-0.03129905108290514,5.280700172966435e-06,-0.03128870110075297,-0.031309401065057314,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8288577154308618,0.14830038607448637,-0.031255788612606195,5.262863834940342e-06,-0.03124547358903417,-0.03126610363617822,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8206412825651304,0.15113279515304626,-0.031212285058182153,5.244165924006941e-06,-0.031202006681842146,-0.03122256343452216,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8124248496993989,0.1540193007943095,-0.03116870583366054,5.225056096303452e-06,-0.031158464911894584,-0.031178946755426498,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.8042084168336675,0.15696093619581752,-0.031125210616335462,5.206009785810008e-06,-0.03111500702465211,-0.031135414208018814,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.795991983967936,0.1599587542882909,-0.031081953569082797,5.18752037206961e-06,-0.031071786215984474,-0.03109212092218112,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.7877755511022045,0.16301382811251586,-0.031039083562810044,5.170089810857075e-06,-0.031028950372983925,-0.031049216752636163,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.7795591182364732,0.16612725120342922,-0.03099674439708674,5.154217583566183e-06,-0.03098664231625447,-0.031006846477919014,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
-0.7713426853707417,0.169300137981539,-0.030955075006842882,5.1403878679249414e-06,-0.030945000031755182,-0.030965149981930583,0.14285714285714282,5.222595998989273e-07,0.999969632057797,9,0.046175732400620915,9.613476502993675e-08,2.6913320836895763e-11
