# DIAGNOSTIC_METADATA_START
# sample_id: -2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r3_CTAB_diaphram_20230616.cor_curve_43
# n_training: 361
# n_validation: 32999
# refitted_pct_within_1sig: 75.90027700831024
# refitted_pct_within_2sig: 95.01385041551247
# true_pct_within_1sig: 57.76538682990394
# true_pct_within_2sig: 89.31482772205219
# expected_1sig: 68.27
# expected_2sig: 95.45
# COORDINATE_SYSTEM: normalized_user_defined
# NOTE: data_type='training'  → refitted GPR (all data) predicted at training points  (plots 5,6)
# NOTE: data_type='validation' → train-only GPR predicted at held-out validation points (plot 7)
# NOTE: Calibration percentages in metadata header support plot 8
# DIAGNOSTIC_METADATA_END
data_type,x,y_observed,y_pred,y_std,standardized_residual
training,-1.0413926847239305,1.7761885296525939,1.7734119370668493,0.030289518495644912,0.09166842903022598
training,-0.7403626436761784,1.7257604641419526,1.7283904429518724,0.02869468039437817,-0.09165388025264953
training,-0.5642713854167036,1.6865386354114535,1.684755679123731,0.02706023748866211,0.06588841956323215
training,-0.4393326492065069,1.6417136882908834,1.642630283456497,0.026124902261138172,-0.0350851135419771
training,-0.3424226364373124,1.6024918595603845,1.6024248163477761,0.02549598119537753,0.002629560001307923
training,-0.26324147016958316,1.5632700308298857,1.5636772627735942,0.025042031587605477,-0.016261937081968755
training,-0.19629466927833367,1.5240482020993866,1.5258956337175618,0.02469685455310837,-0.07480432808647611
training,-0.13830271385516993,1.490429491758959,1.488560204211013,0.02442438792241956,0.07653364932746508
training,-0.08715018483908442,1.45120766302846,1.4510580581721353,0.024203126344821958,0.006181220292586016
training,-0.04139268902344594,1.4119858342979612,1.4133642519075478,0.024019388202578387,-0.05738770664024782
training,4.3429451761979113e-10,1.3783671239575335,1.3755454272913232,0.023864034248331265,0.11824055501359729
training,0.03778852509629476,1.3391452952270346,1.337590585606947,0.02373071561818697,0.06551465360550092
training,0.07255060070155096,1.305526584886607,1.2997057155141538,0.023614876000250955,0.24649163297500587
training,0.10473525779813121,1.266304756156108,1.2622246602020848,0.023513155485024254,0.1735239636070756
training,0.13469845840406167,1.227082927425609,1.2256712103588412,0.02342301835331048,0.06027050141218107
training,0.16272716207923052,1.1934642170851815,1.1905841970425817,0.023342512360292625,0.12338089344490774
training,0.18905636423471528,1.1598455067447537,1.1573882336481702,0.023270107532822364,0.10559783974172643
training,0.2138799167203573,1.1262267964043262,1.1264339339692457,0.023204590263883086,-0.008926577098379825
training,0.23736098461884508,1.0982112044539698,1.0979933069540533,0.023144981119780954,0.0094144600009566
training,0.25963735417406414,1.0701956125036134,1.072229396401597,0.023090481981814112,-0.08807888422500196
training,0.28082663048387096,1.042180020553257,1.0492163565760235,0.02304043518710646,-0.30539075911921293
training,0.30102999588112844,1.0197675469929721,1.0289240028435058,0.022994293896812894,-0.3982055657722229
training,0.3203351321847047,1.0029581918227581,1.0111843506424298,0.022951599724525186,-0.3584133081163932
training,0.3388185205612243,0.9917519550426156,0.995710330620829,0.02291196552513357,-0.17276455643208738
training,0.35654727158956123,0.9805457182624732,0.9821546260280912,0.02287506187449548,-0.07033457515489625
training,0.3735805961817921,0.9749425998724017,0.9701771852405106,0.022840606211872956,0.20863783416353646
training,0.3899709987527856,0.9637363630922592,0.9594856674661929,0.02280835396629828,0.1863657330866819
training,0.405765423907189,0.9525301263121168,0.9498702085550029,0.022778090964996472,0.11677527100597881
training,0.4210053728081464,0.9413238895319741,0.9411887570323796,0.022749629049560422,0.005939986920495614
training,0.4357286131501247,0.9357207711419028,0.933338639952456,0.02272279977168287,0.10483440433832078
training,0.4499690368491501,0.9245145343617603,0.9262371320141591,0.02269745311527418,-0.07589387391002869
training,0.463757306882672,0.9189114159716891,0.9198199269974309,0.022673456742518628,-0.04006936533991801
training,0.4771212548644273,0.9133082975816177,0.9140250459522711,0.022650697862294712,-0.031643544576264934
training,0.4900862192511698,0.9133082975816177,0.9087924002606051,0.022629087335291474,0.1995616188202851
training,0.5026753345117149,0.9077051791915464,0.9040692770472956,0.02260856560587667,0.16081967301913885
training,0.5149097795505551,0.9021020608014751,0.899823674085015,0.022589109561596103,0.10086217432171267
training,0.5268089920871273,0.8964989424114039,0.896040326551633,0.022570738874024523,0.020319044950132717
training,0.5383908544402874,0.8908958240213327,0.892712225360954,0.02255351986168466,-0.0805373769906897
training,0.5496719776695437,0.8852927056312615,0.889832777157874,0.02253756438705679,-0.2014446383157262
training,0.5606673497186143,0.8852927056312615,0.8873888722676355,0.022523022443771586,-0.09306773246354023
training,0.5713912034556723,0.8796895872411901,0.8853569869311234,0.02251006370401448,-0.2517718181199743
training,0.5818566260341084,0.8740864688511187,0.8837071713439587,0.02249885037361162,-0.4276086240105409
training,0.5920757806323317,0.8740864688511187,0.8823981823537134,0.02248949904000956,-0.3695819747184951
training,0.602059991436536,0.8684833504610475,0.8813730712085859,0.02248203491789188,-0.5733342527613862
training,0.6118198190722909,0.8796895872411901,0.8805615118337411,0.02247634324024044,-0.038792991339920715
training,0.6213651277448329,0.8796895872411901,0.879881124682859,0.022472125615504514,-0.008523334378497952
training,0.6307051451582105,0.8852927056312615,0.8792541153563075,0.02246887208294717,0.26875359945912297
training,0.6398485161256796,0.8852927056312615,0.8786132808303836,0.0224658621624241,0.2973144196672907
training,0.6488033506520177,0.8908958240213327,0.8779078831220911,0.022462210005084138,0.5782129558258333
training,0.6661775250956937,0.8852927056312615,0.8761904216718552,0.02244967794758985,0.4054527615100238
training,0.6746106836238943,0.8852927056312615,0.8751564188185185,0.022441467022065203,0.4516766554347374
training,0.6828832009211713,0.8796895872411901,0.87400672338775,0.022433599364886665,0.2533193062635786
training,0.6910010827957012,0.8796895872411901,0.8727561742870339,0.022426922265318817,0.30915579236489704
training,0.6989700044228777,0.8740864688511187,0.8714259513560367,0.02242183329824353,0.11865744641963233
training,0.7067953341780245,0.8740864688511187,0.8700417878330207,0.022418312989776482,0.18041861588339517
training,0.7144821553596744,0.8684833504610475,0.868630628494244,0.022415995556763747,-0.006570220455589476
training,0.7294592971211946,0.8628802320709763,0.8658345266223295,0.022412612806831437,-0.13181392832839808
training,0.736758529113831,0.8628802320709763,0.8644969588564274,0.022411329882864747,-0.07213881490688961
training,0.7439371855287642,0.857277113680905,0.8632251913390918,0.02241070329665327,-0.26541235912635824
training,0.750999032436079,0.8628802320709763,0.8620334613298867,0.02241072087079438,0.03778418116013051
training,0.7647873024720089,0.857277113680905,0.859927138789405,0.022411475136541813,-0.11824411737872269
training,0.77152067823958,0.857277113680905,0.8590279430914707,0.022412058685167137,-0.07811997225906103
training,0.7781512504560261,0.8516739952908338,0.858238761999581,0.022412925444831488,-0.292900928779516
training,0.7911162148448975,0.8516739952908338,0.8569979439485746,0.0224146209993725,-0.2375212426807397
training,0.7974563867658965,0.8516739952908338,0.8565439549694527,0.02241524719695795,-0.21726102835723954
training,0.8098656330440158,0.8516739952908338,0.8559481632266926,0.022415959230854047,-0.1906752181681461
training,0.8159398414987319,0.8516739952908338,0.8557935466292723,0.022416079324908068,-0.18377662125255648
training,0.8278390522438411,0.8516739952908338,0.8557315574106749,0.02241599986577485,-0.18101187214651385
training,0.8336685898783576,0.857277113680905,0.8558061823412084,0.02241582293587795,0.06562022448795381
training,0.8450980400762989,0.857277113680905,0.8561207037635725,0.022415137694368946,0.05159057811471346
training,0.8562343951978906,0.857277113680905,0.8566018367865507,0.02241383719574569,0.030127678962070796
training,0.8616972856073907,0.8628802320709763,0.856887578949645,0.02241321473856469,0.2673714219265079
training,0.8724211408023791,0.8628802320709763,0.8575228271532888,0.022412290640553535,0.23903870334832317
training,0.8828866216412177,0.857277113680905,0.8582232459134516,0.022411696307136398,-0.042216002544337126
training,0.8880262559403108,0.857277113680905,0.8585939583150617,0.022411642949250327,-0.058757166141853195
training,0.8981265725071949,0.857277113680905,0.8593695474407774,0.02241186392528664,-0.09336277239196242
training,0.9079973166606513,0.857277113680905,0.860179660536898,0.02241179097276565,-0.1295098123380295
training,0.9176486928979649,0.8516739952908338,0.861008561487323,0.022410967421591325,-0.41651776914566635
training,0.9270902400979119,0.8516739952908338,0.8618350777341246,0.022409321052333318,-0.45343106889397394
training,0.9363309384669926,0.8516739952908338,0.8626254889349041,0.022407046857803363,-0.4887522066024153
training,0.945379058111795,0.857277113680905,0.8633329696428729,0.022404485043665382,-0.27029659120196825
training,0.9542425094875798,0.8628802320709763,0.8639004545165321,0.022402016376225346,-0.045541545183600256
training,0.9629286800718261,0.8740864688511187,0.8642687288593964,0.022399980641091503,0.43829234074796397
training,0.9714445227275227,0.8852927056312615,0.864385650984846,0.02239861698809149,0.9334082798143378
training,0.9797966346378997,0.8852927056312615,0.8642185525881361,0.022398024039222135,0.9408933981020934
training,0.9879911047481124,0.8796895872411901,0.8637630186102423,0.022398138977410064,0.7110666013771972
training,0.9960338168105796,0.8740864688511187,0.8630398370527981,0.0223987370479407,0.49318100950777344
training,1.0078254151071897,0.8628802320709763,0.8615369669939226,0.02239975658542374,0.05996784232606604
training,1.0155123186041553,0.857277113680905,0.8603209134774406,0.02240038357991778,-0.13588159203113906
training,1.0230651169139389,0.8516739952908338,0.858981850911314,0.022401100266521205,-0.32622752904593477
training,1.0341542032837752,0.8516739952908338,0.8568149037332824,0.02240208827919158,-0.22948344616048477
training,1.0413926851977064,0.8516739952908338,0.8553009290125855,0.022402658616806383,-0.16189746795681897
training,1.0520291051137691,0.8516739952908338,0.8529706050589799,0.02240346562049267,-0.057875410185315224
training,1.0589780323362983,0.8516739952908338,0.8513963861254386,0.02240402582692468,0.012391039284666457
training,1.0691969241793284,0.8516739952908338,0.849030737723189,0.022404943307591383,0.11797653399781022
training,1.079181246083816,0.8460708769007624,0.8466885028090132,0.02240589542595522,-0.02756533018442841
training,1.0857121780623007,0.8404677585106911,0.8451560144808095,0.022406714944297752,-0.20923441748822771
training,1.0953280405346588,0.8415883821887055,0.8429203765991454,0.02240823789100393,-0.0594421752828004
training,1.104735257491023,0.8404677585106911,0.8407751042666467,0.02240980759535899,-0.01371478774533352
training,1.113943352340244,0.8432693177057268,0.8387318465478887,0.022411253720792213,0.20246395824710248
training,1.122960259897516,0.8421486940277125,0.836801291926767,0.022412511346707006,0.2385900443893005
training,1.1317934375496832,0.8382265111546626,0.8349986334695894,0.0224135387352786,0.144014638152215
training,1.1404508456739622,0.8348646401206199,0.8333440361014735,0.02241425405801098,0.06784093766523883
training,1.151731968905636,0.8298218335695557,0.8314067594301771,0.022414469105077866,-0.07070994392596437
training,1.1600045757628423,0.8264599625355129,0.8301824098088568,0.022414203492015,-0.16607537528882055
training,1.1681222489889835,0.8253393388574988,0.8291720519056358,0.022413859980368957,-0.17099745578825556
training,1.178715429072926,0.821977467823456,0.8281736936030645,0.022413316009216446,-0.27645287959243653
training,1.1864941222752974,0.8208568441454417,0.8276911909139634,0.022412916578902674,-0.3049289330091905
training,1.196653342686996,0.8208568441454417,0.8273963106294145,0.02241249519636503,-0.29177770692197125
training,1.2041199826830682,0.821977467823456,0.827423576957353,0.022412268557693925,-0.24299678078450046
training,1.2138799164814953,0.8208568441454417,0.8277627284838065,0.02241197791423889,-0.30813363880587996
training,1.223425067068386,0.8264599625355129,0.8284068152712603,0.02241142992559399,-0.08686874213399293
training,1.2327651872316354,0.83094245724757,0.8293051805904912,0.022410577530627227,0.07305820867558678
training,1.2419086566677127,0.8348646401206199,0.8304086744126127,0.022409546117925273,0.1988422998250144
training,1.250863341906859,0.8415883821887055,0.8316758769772307,0.022408534044174405,0.4423540222532482
training,1.2596373539590884,0.843829629544734,0.8330774264530577,0.022407724813151102,0.4798435866804918
training,1.2682373758463525,0.8415883821887055,0.8346001580530987,0.022407221984616407,0.3118737391550412
training,1.276670628947961,0.8427090058667197,0.8362459980083001,0.022407010434279877,0.2884368643702826
training,1.2869869998605825,0.8376661993156556,0.8384939367629478,0.022406934365847977,-0.03694112858471863
training,1.2950669886716035,0.8337440164426057,0.8404644831405347,0.02240697065528557,-0.29992749896117665
training,1.30496032843956,0.8331837046035985,0.8431640982223931,0.022407162148272625,-0.4454108694448379
training,1.3127156579274535,0.8320630809255842,0.845518339067023,0.022407449822060797,-0.6004814554195065
training,1.3222192947545999,0.8315027690865772,0.8486936321270805,0.022407943799131132,-0.7671771724299032
training,1.3315194098436571,0.8421486940277125,0.8520915144608577,0.022408437976549445,-0.44370876716973956
training,1.3406243394159476,0.8477518124177837,0.855652143014005,0.022408919130098414,-0.35255295068447656
training,1.349542492581557,0.8578374255199122,0.85930488872566,0.02240944045632265,-0.06548415173772966
training,1.3582810017367066,0.8718452214950903,0.8629757877833301,0.022410038247679044,0.39577949730187656
training,1.3668473310661673,0.8724055333340974,0.8665983122071508,0.02241066998426348,0.25912750957966285
training,1.3769085730275024,0.8712849096560832,0.8708117600708808,0.022411255208051865,0.02111214114063483
training,1.3851186250213725,0.8651214794270048,0.8741687114084026,0.022411500297984693,-0.40368702767492254
training,1.3947699300835834,0.865681791266012,0.8779629566310446,0.022411426096780346,-0.5479867839377836
training,1.4042115803969326,0.8690436623000547,0.8814410162745516,0.022410859952936794,-0.5531851051326491
training,1.4134521596286442,0.8740864688511187,0.884526223386475,0.022409909248356973,-0.46585438490949066
training,1.4225003784651375,0.8875339529872899,0.8871319808203836,0.022408793449468677,0.01793814406022879
training,1.4313637641750723,0.8886545766653041,0.8891686342639484,0.022407750418836116,-0.02294106221024696
training,1.4400498716940844,0.9379620184979315,0.8905561593673177,0.022406961894254746,2.1156754379629366
training,1.4485658083369073,0.9233939106837461,0.8912357253547382,0.02240650404403217,1.435216539014323
training,1.4582943562448059,0.9155495449376463,0.8911343329216389,0.022406314819089706,1.0896576301891632
training,1.466463227014659,0.9065845555135322,0.8903296047935667,0.022406409356738564,0.7254598623376028
training,1.4758031996058294,0.9015417489624681,0.8886480987843673,0.022406755799803574,0.5754358299683072
training,1.484946527618677,0.8964989424114039,0.8862888232969888,0.022407222089170287,0.45566197488548354
training,1.493901460221766,0.8892148885043112,0.8833874045210708,0.022407756832278494,0.26006547647104644
training,1.5026753343888717,0.8819308345972187,0.8800805707158267,0.022408328876455927,0.08257036405240305
training,1.511275591792903,0.8780086517241688,0.8764988224291053,0.02240886623194431,0.0673764247016458
training,1.5209002031082952,0.8701642859780689,0.8722222234048869,0.022409247403077016,-0.09183429414733128
training,1.5303161350199863,0.8640008557489905,0.8679032858108704,0.022409249654663357,-0.17414371764354816
training,1.5395322449347093,0.8595183610369335,0.863679638556335,0.0224089533750016,-0.18569709308574675
training,1.5485569608372913,0.8511136834518266,0.8596658571829731,0.022408557465050494,-0.38164766769659775
training,1.557397832556331,0.8410280703496984,0.8559548993997332,0.022408278368628035,-0.6661301121785259
training,1.5660623166215974,0.8376661993156556,0.8526148225931418,0.022408269172444477,-0.667102983087972
training,1.5745573139317155,0.8410280703496984,0.8496856135984354,0.02240856528917567,-0.3863497327195697
training,1.583919806980121,0.8421486940277125,0.8469007438571542,0.022409126217836903,-0.21205868368278116
training,1.5930846051664664,0.8359852637986341,0.8446585911302777,0.02240973976471511,-0.38703382475671017
training,1.6020599913388198,0.8303821454085629,0.8429499175281038,0.02241029211685617,-0.5608035806908334
training,1.6108536365107715,0.8230980915014702,0.8417517153683222,0.022410693217615938,-0.8323537162587155
training,1.620419972004183,0.8197362204674274,0.8409690165044391,0.02241082277806161,-0.9474349135924351
training,1.6297801205270015,0.8191759086284203,0.8406812700547612,0.022410557806296937,-0.9596084807999522
training,1.638942782932856,0.8348646401206199,0.8407759206392744,0.022410006857031893,-0.26377861149211573
training,1.647916218381551,0.8432693177057268,0.8411214277634492,0.022409356072784183,0.0958479094944337
training,1.656707895287922,0.844389941383741,0.8415896826495851,0.022408780702905282,0.12496256529015853
training,1.6653251227848427,0.8679230386220405,0.842068344795435,0.02240838023375055,1.1537957425536995
training,1.6746106835412113,0.870724597817076,0.8424997049635627,0.02240812439240639,1.259583008077184
training,1.6837018604686513,0.8628802320709763,0.8427666396128038,0.02240800814249723,0.8976073304019334
training,1.6926066254274152,0.8640008557489905,0.8428526122450508,0.022408024165756116,0.9437799269192342
training,1.7013324697153906,0.8606389847149478,0.8427765589356155,0.022408157075334167,0.7971394363028829
training,1.7106557934161797,0.8567168018418978,0.8425640224280707,0.022408353832310924,0.6315849640976973
training,1.7197831656396214,0.8499930597738123,0.8422991978962319,0.022408533313649864,0.3433451772838405
training,1.728722572769882,0.8427090058667197,0.8420794731574824,0.02240869810375881,0.0280932298482056
training,1.7374817579476716,0.8376661993156556,0.8420025070950791,0.02240885805184189,-0.1935086451099289
training,1.7467756718443228,0.8326233927645914,0.8421814279677213,0.022408982294993496,-0.4265269629229273
training,1.7558748556801105,0.8270202743745202,0.8427204691483668,0.022409018293259367,-0.7006194782083481
training,1.7647873024048288,0.8270202743745202,0.8436822687701676,0.02240898829859117,-0.7435406765927434
training,1.7741850963762875,0.8247790270184916,0.8452263989368758,0.022408906782668964,-0.9124662807268916
training,1.7827331227208387,0.8225377796624631,0.8471345234334757,0.022408842572812206,-1.0976356133221867
training,1.79175442038427,0.8264599625355129,0.8496685383221567,0.022408823437401693,-1.0356891671669994
training,1.8012165731787904,0.8292615217305487,0.8528575193980824,0.02240881713025662,-1.0529782730198793
training,1.8098656329834593,0.8292615217305487,0.8561739629174605,0.022408845900376586,-1.2009739897565255
training,1.8189453154290893,0.8186155967894132,0.8599526597351672,0.022408942075589123,-1.8446681963767115
training,1.8278390521857395,0.8494327479348052,0.8637907996720691,0.02240907924797702,-0.6407247488531952
training,1.8371290931153923,0.9351604593028957,0.8677147214669229,0.022409226730807773,3.0097306946462674
training,1.8462246264348514,0.9261954698787817,0.8712352871724754,0.022409355578163866,2.452555240571264
training,1.855133510291987,0.9116273620645964,0.8742315149682142,0.022409495881274492,1.6687500302385385
training,1.8638633689978408,0.8993005016064395,0.8766809205472599,0.0224096605397673,1.0093674073332368
training,1.8729504508077413,0.8931370713773611,0.8787251980927949,0.022409801473928445,0.6431057962303841
training,1.882369291205173,0.8897752003433183,0.8803490571608222,0.022409807576992097,0.4206257955606524
training,1.891588131702934,0.8880942648262969,0.8815254237066492,0.022409650229217377,0.2931255518558167
training,1.9006153430527197,0.8768880280461545,0.8823693330000146,0.022409419127466038,-0.24459826014330513
training,1.9094587834623111,0.8679230386220405,0.8829912061854182,0.02240922672854214,-0.6724090785758705
training,1.9181256822855608,0.861759608392962,0.8834817912737751,0.022409138256936134,-0.9693448509629855
training,1.9275569771689796,0.8611992965539549,0.883945150205884,0.022409128246800022,-1.0150262562612
training,1.9363309384217344,0.8903355121823255,0.8843366161956863,0.02240916893700353,0.2676982790719947
training,1.9453790580674701,0.8796895872411901,0.8846989105943551,0.022409244894879027,-0.2235382474648207
training,1.9546809737142572,0.8858530174702686,0.8850244552689978,0.0224093036419494,0.036974026985040695
training,1.963358466141809,0.897059254250411,0.8852789639561942,0.022409332429981634,0.5256867993928797
training,1.9727076321618142,0.8948180068943826,0.8854962531626657,0.02240931961813101,0.4159766494015825
training,1.9818597703634793,0.9043433081575037,0.885664329317781,0.022409250996614918,0.8335387362652333
training,1.9908230141117458,0.8914561358603398,0.8858164759066717,0.02240919008038917,0.25166728062326466
training,1.9996050033178883,0.8813705227582115,0.8860053744551749,0.02240920095291486,-0.206828065222814
training,2.0086001717661754,0.8684833504610475,0.8863023939116967,0.022409295201803535,-0.7951630433115455
training,2.017791856684205,0.8802498990801971,0.8867715100952858,0.022409434502059754,-0.29102077454864494
training,2.0267930281152484,0.8796895872411901,0.8874272834820672,0.02240958052322944,-0.34528518721391804
training,2.0356118235044494,0.8673627267830333,0.8882774460369406,0.022409716030854742,-0.9332880047110882
training,2.044967181118346,0.8791292754021829,0.889407815772233,0.022409793834804716,-0.4586628685633083
training,2.0541252526034626,0.865681791266012,0.8907169276626643,0.02240976790755192,-1.1171528588879494
training,2.0630945627284962,0.9239542225227533,0.8921455972947028,0.022409681700799156,1.419414408058046
training,2.0718820073098057,0.9049036199965109,0.8936203578883197,0.022409583765217646,0.5035016346601673
training,2.081151002675218,0.8897752003433183,0.895217749147867,0.022409462028781375,-0.24286833719041687
training,2.0902259471195026,0.8813705227582115,0.896804681160992,0.02240931534368458,-0.6887385043763208
training,2.0991154835836774,0.8847323937922541,0.8983563557111887,0.02240917453606141,-0.6079635747498943
training,2.108134236261905,0.9110670502255892,0.8998808800824142,0.02240904728616621,0.4991809758981806
training,2.1172712956590796,0.9357207711419028,0.9013097639992682,0.02240892167133629,1.5355940590881256
training,2.126220076143818,0.9161098567766534,0.9025508427971574,0.02240880334437135,0.60507532288172
training,2.1352773920851456,0.9082654910305535,0.9036458497795554,0.022408696698248173,0.20615394516647056
training,2.1444325329016087,0.8908958240213327,0.9046127067042631,0.022408607806784255,-0.6121256054811663
training,2.1533989616358338,0.9312382764298458,0.9054523382156539,0.022408571404241507,1.1507176264810621
training,2.1621840082905988,0.9077051791915464,0.9061931275179034,0.022408624019886712,0.06747632811159997
training,2.1713273628178054,0.9407635776929669,0.9069250892468258,0.022408762737786542,1.5100560745406848
training,2.1802821815749107,0.9105067383865821,0.9076674627278509,0.022408948196631112,0.12670276271546657
training,2.1893117305840026,0.8886545766653041,0.9085443483020459,0.022409153596011856,-0.8875735293957817
training,2.198407158294184,0.8611992965539549,0.9096691900853754,0.022409336545115933,-2.1629329907891055
training,2.2075608568969085,0.8864133293092756,0.9111242530962239,0.022409466231585615,-1.102700234860962
training,2.2165258610821454,0.8774483398851616,0.9128745366750878,0.02240954298025589,-1.5808531509568677
training,2.2255442025154575,0.8701642859780689,0.9149213645968897,0.022409582932549906,-1.9972294242963418
training,2.2346093968178886,0.8875339529872899,0.9171710141687868,0.0224095853443868,-1.3225171547705024
training,2.243714276834117,0.9592538683802022,0.9194582307207317,0.02240955032952655,1.7758338251639456
training,2.2526324310073336,0.9771838472284303,0.9215312334241548,0.02240949349491278,2.4834391535250644
training,2.2618034370847075,0.958693556541195,0.9233411623311302,0.02240941775220176,1.5775686116982925
training,2.270784777106111,0.962615739414245,0.9247326332486939,0.022409334018678104,1.6905056600488493
training,2.2797912384961228,0.936841394819917,0.92574815961003,0.022409258588832148,0.49502910220834045
training,2.2888179978974126,0.9065845555135322,0.9264371801405252,0.02240919564458498,-0.8859141958180379
