# METADATA_START
# sample_id: -1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR5)_Ru-2R4_CTAB_diaphram_20230613.cor_curve_43
# index_id: 127
# group_key: potential=-1.95
# group_flags: {"potential": -1.95}
# x_scaling_method: log_log10
# x_scaling_params: {"shift": 1e-09, "base": "log10"}
# y_scaling_method: middle_average
# y_scaling_params: {"factor": -1.9778787878787878e-06, "start_fraction": 0.5, "end_fraction": 0.9}
# physical_scale_factor: -1.9778787878787878e-06
# statistical_scaler_mean: 6804.3164566363375
# statistical_scaler_std: 5577.371111589191
# validation_mae: 110.33894635239375
# validation_rmse: 570.5887443301807
# hyperparams_str: 1.28**2 * Matern(length_scale=0.412, nu=1.5) + WhiteKernel(noise_level=0.0236)
# hyperparams: {"k1": "1.28**2 * Matern(length_scale=0.412, nu=1.5)", "k2": "WhiteKernel(noise_level=0.0236)", "k1__k1": "1.28**2", "k1__k2": "Matern(length_scale=0.412, nu=1.5)", "k1__k1__constant_value": 1.6416337640777592, "k1__k1__constant_value_bounds": [0.01, 10000.0], "k1__k2__length_scale": 0.4122768901274269, "k1__k2__length_scale_bounds": [0.01, 1000.0], "k1__k2__nu": 1.5, "k2__noise_level": 0.023606110664370693, "k2__noise_level_bounds": [1e-12, 10.0], "log_marginal_likelihood": 72.34035342877382}
# num_prediction_points: 500
# GRID_TYPE: shared_regulated
# grid_x_min: -1.0
# grid_x_max: 3.69897
# COORDINATE_SYSTEM: normalized_user_defined
# x_pred_units: transformed (as per x_scaling_method)
# y_pred_units: normalized (as per y_scaling_method, e.g., I/I_mid)
# y_std_units: normalized (as per y_scaling_method)
# NOTE: To get original units, multiply y by physical_scale_factor
# NOTE: All curves in the same group share the same x_pred grid (J_R)
# METADATA_END
x_pred_transformed,x_pred_original,y_pred_normalized,y_std_normalized
-1.0,0.099999999,21569.937168866014,1497.1202170144686
-0.9905832264529059,0.102191969523999,21605.353948397955,1605.48439332916
-0.9811664529058116,0.10443198739577886,21631.74547311324,1712.9450815030682
-0.9717496793587175,0.10672110579904039,21650.067676519622,1815.4795750019864
-0.9623329058116232,0.10906040100296088,21661.21326101731,1910.2906048344926
-0.9529161322645291,0.11145097286822062,21666.014492703078,1995.4297366631256
-0.9434993587174348,0.11389394536412188,21665.245821997953,2069.53813606414
-0.9340825851703407,0.11639046709704268,21659.62633633128,2131.6735763139045
-0.9246658116232465,0.11894171185047435,21649.82205072628,2181.196216025068
-0.9152490380761523,0.1215488791368963,21636.448041756303,2217.6935290878423
-0.9058322645290581,0.12421319476174798,21620.070429976804,2240.931436324559
-0.8964154909819639,0.12693591139976268,21601.208215585048,2250.8233974420796
-0.8869987174348697,0.12971830918393473,21580.33497171619,2247.4123642676204
-0.8775819438877756,0.13256169630739617,21557.8803994506,2230.8625895409095
-0.8681651703406814,0.13546740963848708,21534.2317482825,2201.4597390808735
-0.8587483967935872,0.13843681534930746,21509.73510548228,2159.6188593600837
-0.8493316232464929,0.14147130955804696,21484.69655747606,2105.900714683301
-0.8399148496993988,0.14457231898539444,21459.383226061647,2041.0379857648038
-0.8304980761523046,0.14774130162533583,21434.024181984503,1965.9739384688412
-0.8210813026052104,0.1509797474306554,21408.811238104172,1881.9175017020525
-0.8116645290581161,0.15428917901346326,21383.899624096106,1790.420171146564
-0.802247755511022,0.15767115236107815,21359.40854435008,1693.4813117328024
-0.7928309819639279,0.16112725756760227,21335.421620447913,1593.687738154416
-0.7834142084168336,0.16465911958153182,21311.987219326857,1494.3869073906933
-0.7739974348697395,0.16826839896975498,21289.118667961353,1399.871844829569
-0.7645806613226452,0.1719567926982968,21266.79435512393,1315.5051817489934
-0.7551638877755511,0.17572603493017727,21244.95772051526,1247.6186164586504
-0.7457471142284569,0.1795778978407587,21223.517131283792,1202.931010572774
-0.7363303406813627,0.1835141924509649,21202.351071098128,1187.1642842806662
-0.7269135671342686,0.18753676947876458,21181.482026058853,1199.3607543337118
-0.7174967935871743,0.1916475202093188,21161.113677859714,1231.3414563961915
-0.7080800200400801,0.19584837738420188,21141.42781162694,1274.4926644964735
