# DIAGNOSTIC_METADATA_START
# sample_id: -1.95V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BVR4)_Ru-6_CTAB_diaphram_20230507.cor_curve_43
# n_training: 335
# n_validation: 9056
# refitted_pct_within_1sig: 83.28358208955224
# refitted_pct_within_2sig: 95.52238805970148
# true_pct_within_1sig: 52.67226148409894
# true_pct_within_2sig: 81.97879858657244
# expected_1sig: 68.27
# expected_2sig: 95.45
# COORDINATE_SYSTEM: normalized_user_defined
# NOTE: data_type='training'  → refitted GPR (all data) predicted at training points  (plots 5,6)
# NOTE: data_type='validation' → train-only GPR predicted at held-out validation points (plot 7)
# NOTE: Calibration percentages in metadata header support plot 8
# DIAGNOSTIC_METADATA_END
data_type,x,y_observed,y_pred,y_std,standardized_residual
training,-1.0413926847239305,4.081960341080833,4.079711884115767,0.05174569967621737,0.04345205446617392
training,-0.7403626436761784,3.9304649057417502,3.931847349645219,0.050909001403756274,-0.027155195793157363
training,-0.5642713854167036,3.795802296551455,3.796056506959487,0.04928445405561455,-0.005158024216504445
training,-0.4393326492065069,3.6779725135099466,3.6775650499981367,0.047613662228662146,0.008557701547872467
training,-0.3424226364373124,3.5601427304684377,3.5599651306063604,0.046271123771598394,0.00383824396766442
training,-0.26324147016958316,3.442312947426929,3.4417312134203852,0.04523075242314436,0.012861470881924018
training,-0.19629466927833367,3.3244831643854207,3.3240056720200366,0.04441079454184649,0.010751718568308581
training,-0.13830271385516993,3.206653381343912,3.208736768582515,0.04375020556773348,-0.04762005587871624
training,-0.08715018483908442,3.0972400113767966,3.0968803306904626,0.043206821096361675,0.008324627370741421
training,-0.04139268902344594,2.9878266414096815,2.9868143708332244,0.04275163412446742,0.023677938745969445
training,4.3429451761979113e-10,2.8784132714425668,2.877599001659875,0.042364336339744575,0.019220642906799267
training,0.03778852509629476,2.7689999014754516,2.769401103978735,0.04203038600407593,-0.009545534563734687
training,0.07255060070155096,2.66800294458273,2.662715155679457,0.04173912841333187,0.1266866149729025
training,0.10473525779813121,2.5585895746156146,2.5581284961197177,0.04148258919489072,0.011114988329663593
training,0.13469845840406167,2.4575926177228933,2.4573380496380803,0.041254685283355574,0.006170646617405835
training,0.16272716207923052,2.365012073904565,2.3617787877771175,0.04105069269334167,0.07876325361241562
training,0.18905636423471528,2.2724315300862368,2.2724894854873057,0.04086687880889361,-0.0014181508991205653
training,0.2138799167203573,2.188267399342302,2.1905401435844882,0.04070027221807201,-0.05584100824743116
training,0.23736098461884508,2.112519681672761,2.1165842446022944,0.040548468553461434,-0.10023961605727137
training,0.25963735417406414,2.045188377077613,2.050622920112904,0.04040949667380552,-0.1344867783360639
training,0.28082663048387096,1.9946898986312522,1.9920071322371973,0.04028172569251518,0.06660008580251663
training,0.30102999588112844,1.935775007110498,1.9397008110355287,0.04016379519110865,-0.09774484449431022
training,0.3203351321847047,1.8936929417385306,1.8928684946091008,0.040054561065161615,0.020583102284664243
training,0.3388185205612243,1.8516108763665633,1.8506355047932945,0.03995305369170615,0.024412941707881303
training,0.35654727158956123,1.809528810994596,1.8122806887074572,0.03985844539998686,-0.06904127038426863
training,0.3735805961817921,1.7758631586970222,1.777230492958625,0.03977002481843237,-0.03438102602166119
training,0.3899709987527856,1.7506139194738417,1.7448901524284184,0.03968717644394569,0.1442220773525016
training,0.405765423907189,1.716948267176268,1.7147379833053336,0.039609363761184506,0.05580205424860014
training,0.4210053728081464,1.6916990279530875,1.6865320613702721,0.03953612200974437,0.13068976690412074
training,0.4357286131501247,1.6580333756555135,1.6602072914874693,0.039467042197369656,-0.05508180257279356
training,0.4499690368491501,1.6327841364323332,1.6358368574387863,0.039401763847863654,-0.07747675993624031
training,0.463757306882672,1.6075348972091525,1.6134314341938356,0.03933996744724026,-0.14988667638330863
training,0.4771212548644273,1.5907020710603659,1.592878602283714,0.03928136895611945,-0.05540874148858321
training,0.4900862192511698,1.573869244911579,1.5739314881193684,0.03922571507554654,-0.001586795996221181
training,0.5026753345117149,1.5570364187627919,1.5563080166579548,0.039172779142909744,0.018594598568568127
training,0.5149097795505551,1.540203592614005,1.5397576188365,0.03912235760037345,0.011399460659310547
training,0.5268089920871273,1.523370766465218,1.5240767460764308,0.03907426700148315,-0.018067635392346827
training,0.5383908544402874,1.5149543533908245,1.5090958586698504,0.03902834155758474,0.15010872796937222
training,0.5496719776695437,1.4981215272420376,1.4946783736625424,0.03898443079334351,0.08832124775439817
training,0.5606673497186143,1.4812887010932507,1.4807841324439388,0.03894240060668632,0.012956793627396662
training,0.5713912034556723,1.4644558749444636,1.4674330410395968,0.038902129135826385,-0.07652964384251311
training,0.5818566260341084,1.4560394618700703,1.4546474816508441,0.038863507098497514,0.03581715392068287
training,0.5920757806323317,1.4392066357212834,1.4424206713516357,0.03882643622335232,-0.08277956811656133
training,0.602059991436536,1.43079022264689,1.4307435067394487,0.0387908277232266,0.0012043029257897764
training,0.6118198190722909,1.4223738095724963,1.4195825424314288,0.03875659991325463,0.0720204336838854
training,0.6213651277448329,1.4055409834237094,1.4089061884152918,0.03872367484274194,-0.08690303791048595
training,0.6307051451582105,1.397124570349316,1.3986999910705746,0.03869197432066256,-0.04071698963021347
training,0.6398485161256796,1.3887081572749225,1.3889291822485996,0.03866141652783742,-0.005716939340448487
training,0.6488033506520177,1.3802917442005291,1.3795459003002708,0.03863191546559433,0.019306417746537692
training,0.6575773627027846,1.3718753311261354,1.3705041235234787,0.038603386269403774,0.03552039682568942
training,0.6661775250956937,1.363458918051742,1.361768423036713,0.0385757624676565,0.04382272449090395
training,0.6746106836238943,1.3550425049773487,1.3533170030457833,0.03854902384161372,0.044761235308547385
training,0.6828832009211713,1.3466260919029551,1.3451424362105275,0.03852324321871442,0.038513260167448944
training,0.6910010827957012,1.3382096788285618,1.3372495882842863,0.038498645922496966,0.02493829377049901
training,0.6989700044228777,1.3297932657541685,1.3296520071241,0.03847567511155754,0.003671374947722483
training,0.7067953341780245,1.3213768526797747,1.3223671202284655,0.03845504570289859,-0.02575130332093277
training,0.7144821553596744,1.3129604396053811,1.315410541257582,0.038437760688875604,-0.06374204953453048
training,0.7220352860235701,1.3045440265309878,1.3087897058160092,0.038425056374919844,-0.11049246701283486
training,0.7294592971211946,1.3045440265309878,1.3024970263602296,0.038418241701707836,0.053281984670813576
training,0.736758529113831,1.2961276134565944,1.2965098851574035,0.03841840643258276,-0.009950222700799973
training,0.7439371855287642,1.2877112003822009,1.2908101248814683,0.03842599900345798,-0.08064655627883294
training,0.750999032436079,1.2877112003822009,1.285379095147024,0.03844032031097704,0.06066820490161258
training,0.757947885051875,1.2792947873078073,1.2801914208676695,0.038459048858549026,-0.023313981602314814
training,0.7647873024720089,1.2792947873078073,1.2752275130833994,0.03847799392102236,0.10570390499530057
training,0.7781512504560261,1.2624619611590204,1.265917088473292,0.03849512772432833,-0.08975492509179221
training,0.7846821111318962,1.2616203198515812,1.2615609532936414,0.03849410514825648,0.0015422246486038146
training,0.7911162148448975,1.256570472006945,1.2573901864619974,0.03849307263304521,-0.021295116156020834
training,0.7974563867658965,1.2523622654697484,1.2533907676865403,0.03849322545354855,-0.026719044767012153
training,0.8098656330440158,1.244787493702794,1.2458430823058906,0.03848778297846572,-0.027426588872226446
training,0.8159398414987319,1.2414209284730366,1.2422612700757059,0.038482531216723084,-0.021836962744288944
training,0.8219301988246298,1.2380543632432794,1.2387841191319888,0.03847878704234497,-0.018965147888102322
training,0.8336685898783576,1.2313212327837646,1.2320677265984041,0.03847187903930702,-0.019403622368860028
training,0.8394209128998258,1.2287963088614466,1.2287909118568436,0.03846978356096255,0.00014029204454506423
training,0.8450980400762989,1.2254297436316892,1.225543989473557,0.038470960334715885,-0.0029696644060023245
training,0.8562343951978906,1.2195382544796136,1.2190720913284188,0.03847634300211102,0.012115578394696184
