# DIAGNOSTIC_METADATA_START
# sample_id: -2.05V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-10r2.cor_curve_43
# n_training: 242
# n_validation: 664
# refitted_pct_within_1sig: 92.97520661157024
# refitted_pct_within_2sig: 96.69421487603306
# true_pct_within_1sig: 92.7710843373494
# true_pct_within_2sig: 96.23493975903614
# expected_1sig: 68.27
# expected_2sig: 95.45
# COORDINATE_SYSTEM: normalized_user_defined
# NOTE: data_type='training'  → refitted GPR (all data) predicted at training points  (plots 5,6)
# NOTE: data_type='validation' → train-only GPR predicted at held-out validation points (plot 7)
# NOTE: Calibration percentages in metadata header support plot 8
# DIAGNOSTIC_METADATA_END
data_type,x,y_observed,y_pred,y_std,standardized_residual
training,-1.0413926847239305,2.4693793601356626,2.4434304354279437,0.13292126621947253,0.1952202640422595
training,-0.7403626436761784,2.436009368782478,2.4116132483361366,0.13292027159552466,0.18353950180168832
training,-0.5642713854167036,2.413762707880355,2.392225596140972,0.13290897997434864,0.16204406750646375
training,-0.4393326492065069,2.38039271652717,2.3627451667830277,0.13286861889992083,0.1328195466843297
training,-0.3424226364373124,2.3470227251739857,2.332815689598357,0.1327843791197252,0.10699327480470729
training,-0.26324147016958316,2.3247760642718625,2.3127640373474616,0.13265067613195325,0.09055383105169089
training,-0.19629466927833367,2.291406072918678,2.2816521520689954,0.13246574433838712,0.07363353364325373
training,-0.13830271385516993,2.2691594120165552,2.260457809672128,0.13222886010928242,0.06580713416613285
training,-0.08715018483908442,2.213542759761247,2.2051859327721766,0.13194001361728386,0.06333807882555843
training,-0.04139268902344594,2.0911861247995702,2.0856732509443408,0.13160013550697172,0.0418910955509488
training,4.3429451761979113e-10,2.0133228116421398,2.0113065333372147,0.1312112899658361,0.015366652548827488
training,0.03778852509629476,2.0578161334463854,2.0527098018729064,0.13077672539250118,0.039046180077140336
training,0.07255060070155096,2.0911861247995702,2.085358958221332,0.13030076953231304,0.04472089147809049
training,0.10473525779813121,2.068939463897447,2.0658239868812456,0.12978861160536867,0.02400424024315637
training,0.13469845840406167,2.0355694725442626,2.032157741353731,0.12924603152392125,0.026397183322880876
training,0.16272716207923052,1.957706159386832,1.9487765689089591,0.12867913771891007,0.06939423615379971
training,0.18905636423471528,1.7908562026209085,1.7909467297041655,0.12809389888449954,-0.0007067243949527865
training,0.2138799167203573,1.7352395503656008,1.7460380106752527,0.12749612701415297,-0.08469637905144735
training,0.23736098461884508,1.902089507131524,1.892791388415414,0.12689130538833795,0.07327624757524961
