# DIAGNOSTIC_METADATA_START
# sample_id: -2.15V_pH1.48_ Na2SO4_ H3Cit_NiFeCoCu_acidB(BWR6)_Au-7R4.cor_curve_43
# n_training: 361
# n_validation: 32999
# refitted_pct_within_1sig: 77.00831024930747
# refitted_pct_within_2sig: 95.84487534626038
# true_pct_within_1sig: 58.04418315706536
# true_pct_within_2sig: 88.06630503954665
# expected_1sig: 68.27
# expected_2sig: 95.45
# COORDINATE_SYSTEM: normalized_user_defined
# NOTE: data_type='training'  → refitted GPR (all data) predicted at training points  (plots 5,6)
# NOTE: data_type='validation' → train-only GPR predicted at held-out validation points (plot 7)
# NOTE: Calibration percentages in metadata header support plot 8
# DIAGNOSTIC_METADATA_END
data_type,x,y_observed,y_pred,y_std,standardized_residual
training,-1.0413926847239305,1.3798295884241132,1.3768443755773552,0.031768385043207045,0.09396803876876733
training,-0.7403626436761784,1.3310253264541283,1.331896952001464,0.03125772952040118,-0.02788512019013964
training,-0.5642713854167036,1.2910945666605047,1.2899804541689828,0.03031339539771138,0.036753140756074276
training,-0.4393326492065069,1.2511638068668807,1.2510869027396465,0.02931473420615365,0.0026233949941689544
training,-0.3424226364373124,1.2156697981614373,1.2162681844961634,0.028497841336012873,-0.020997602083991613
training,-0.26324147016958316,1.1846125405441743,1.1851172746416014,0.027860487167097246,-0.01811648491960192
training,-0.19629466927833367,1.1535552829269113,1.1536174763397082,0.027356476123954716,-0.002273443856136568
training,-0.13830271385516993,1.118061274221468,1.118219148766297,0.026949607877610197,-0.005858138825623162
training,-0.08715018483908442,1.0825672655160246,1.077000560985974,0.026614480265445804,0.20916074458766673
training,-0.04139268902344594,1.0293262524578592,1.0301982578298947,0.026333479246735594,-0.033113944441358616
training,4.3429451761979113e-10,0.9760852393996942,0.9821005518449883,0.02609421520617121,-0.2305228333067207
training,0.03778852509629476,0.9361544796060703,0.9346767923887752,0.025887789828282392,0.057080470035827946
training,0.07255060070155096,0.891786968724266,0.8863570776844949,0.02570766970579367,0.2112167723014466
training,0.10473525779813121,0.8385459556661009,0.8365028629596434,0.025548957522122346,0.07996775197937835
training,0.13469845840406167,0.7941784447842966,0.7864540108936737,0.0254079132179894,0.3040168546684133
training,0.16272716207923052,0.736500680637951,0.7382487615203209,0.025281629706561542,-0.069144311333765
training,0.18905636423471528,0.683259667579786,0.6946603237564632,0.025167808035580455,-0.452985659905753
training,0.2138799167203573,0.6522024099625229,0.6571684017433408,0.025064617148289746,-0.19812757288989766
