x_real,mean_real,std_real,1sig_upper_real,1sig_lower_real,2sig_upper_real,2sig_lower_real,sample_0_real,sample_1_real,sample_2_real,sample_3_real,sample_4_real,sample_5_real,sample_6_real,mean_norm,std_norm,1sig_upper_norm,1sig_lower_norm,2sig_upper_norm,2sig_lower_norm,sample_0_norm,sample_1_norm,sample_2_norm,sample_3_norm,sample_4_norm,sample_5_norm,sample_6_norm
0.07943282247242814,-0.031208961018229217,0.002649550980274216,-0.028559410037955,-0.033858511998503434,-0.025909859057680784,-0.03650806297877765,-0.021563093835110826,-0.02632292259792264,-0.016712848466203238,-0.031216042522560758,-0.023418327768248124,-0.03070443498514114,-0.033617375163860985,1.8405834728489114,0.10092632664208946,1.9415097994910009,1.739657146206822,2.0424361261330906,1.6387308195647325,1.6776238758775994,1.9282914820435155,1.859025362680957,1.865665931894008,2.655406817444857,1.5766960214205137,1.7642853735776456
0.08094992067275816,-0.03129874606614249,0.002588358203831665,-0.028710387862310824,-0.033887104269974155,-0.026122029658479158,-0.03647546247380582,-0.02172662587615974,-0.02640384133727204,-0.017516477115474875,-0.03129842347591878,-0.02350359636117944,-0.030714870732611213,-0.03371582327228273,1.846059317088302,0.09631523151350599,1.942374548601808,1.7497440855747959,2.038689780115314,1.65342885406129,1.6903467837605093,1.934219202084658,1.9484156329388436,1.8705895328919864,2.6650754327800104,1.5772319049671275,1.7694520636270101
0.08249599413606928,-0.03138342831631973,0.002531147969708115,-0.028852280346611615,-0.03391457628602785,-0.026321132376903502,-0.03644572425573596,-0.021881423011682374,-0.02648037076859605,-0.01838175340022421,-0.03137555481228833,-0.023586168478256217,-0.030721427252550868,-0.033808593672684004,1.851244559122724,0.09228267877728433,1.9435272379000084,1.7589618803454397,2.0358099166772927,1.6666792015681553,1.7023901098460905,1.939825382401405,2.04466317340618,1.8751993839466843,2.6744382944149825,1.577568587238214,1.7743207798706524
0.08407159626481406,-0.03146258100069256,0.002479121344475105,-0.028983459656217455,-0.03394170234516766,-0.02650433831174235,-0.03642082368964277,-0.02202627925814543,-0.026552210655522997,-0.019283897452034286,-0.031447120537563024,-0.02366585314361774,-0.03072397774612037,-0.0338953274528084,1.8561091200248718,0.08898211066292847,1.9450912306878003,1.7671270093619433,2.034073341350729,1.6781448986990148,1.7136600277667156,1.9450880291123416,2.145011637433611,1.8794765992740208,2.6834737475754635,1.5776995570171932,1.7788726861073139
0.08567729103095306,-0.03153569992517449,0.0024338189087186606,-0.029101881016455833,-0.03396951883389315,-0.026668062107737173,-0.03640333774261181,-0.02215989342743622,-0.026619047632642497,-0.02018039190992189,-0.0315127920878921,-0.023742451445160014,-0.03072239235012667,-0.03397565094920394,1.8606150384928655,0.08653615596210483,1.9471511944549702,1.7740788825307607,2.033687350417075,1.6875427265686558,1.7240553041714766,1.9499841865654368,2.244731678459902,1.8834015418433767,2.692159237595628,1.57761814573062,1.7830881719730163
0.08731365317782327,-0.03160217548115267,0.0023971860561328956,-0.029204989425019773,-0.03399936153728556,-0.026807803368886877,-0.03639654759341846,-0.022280862786962355,-0.026680554712219768,-0.021003246975166305,-0.03157222789740279,-0.023815756255232676,-0.030716538071427206,-0.03404917522469307,1.8647133848889108,0.08498398748309653,1.9496973723720072,1.7797293974058144,2.034681359855104,1.6947454099227177,1.7334668054774822,1.9544899012022905,2.336260566500336,1.886953797541981,2.7004712782479228,1.5773175240797674,1.7869468255179788
0.0889812684258623,-0.03166125444508216,0.002371670658739661,-0.0292895837863425,-0.03403292510382182,-0.026917913127602836,-0.036404595762561484,-0.022387676331478982,-0.026736390773755895,-0.021648391515953207,-0.031625072952132176,-0.023885551942283794,-0.03070627872001879,-0.03411549552869162,1.8683400403694088,0.08422654863181916,1.952566589001228,1.7841134917375896,2.036793137633047,1.6998869431057706,1.7417769744132792,1.9585801841657584,2.4080221256590466,1.890112148515088,2.708385419046442,1.576790698604691,1.790427404883427
0.09068073368226119,-0.0317119880712577,0.002360435476799178,-0.02935155259445852,-0.034072423548056875,-0.026991117117659343,-0.03643285902485605,-0.022478707644024005,-0.02678620003582496,-0.021961204802973856,-0.03167095832974897,-0.02395161407317323,-0.0306914748407865,-0.03417419073984043,1.8714099523915995,0.08400775170191217,1.9554177040935117,1.7874022006896872,2.0394254557954237,1.703394448987775,1.748859274594589,1.9622289726092663,2.4428173812691814,1.8928545456568742,2.715876211492203,1.5760305081794823,1.7935078090501457
0.09241265725462187,-0.031753473058001344,0.0023665584228267727,-0.029386914635174573,-0.034120031480828115,-0.027020356212347798,-0.03648658990365489,-0.02255261109364188,-0.02682969535577877,-0.02177767631298381,-0.03170958934143032,-0.02401375409924563,-0.03067201336913118,-0.034224921515493306,1.8738390838856491,0.08405256180416161,1.9578916456898108,1.7897865220814875,2.041944207493972,1.7057339602773258,1.754609014986053,1.965415231834992,2.4224029008557446,1.8951633765202485,2.7229222760319853,1.5750311468512317,1.796170228856521
0.09417765906869519,-0.03178634166677255,0.002387093709437962,-0.029399247957334586,-0.03417343537621051,-0.027012154247896627,-0.036560529085648476,-0.02261032879942473,-0.026867075762563617,-0.02121032294666214,-0.031741186902073594,-0.02407204338559416,-0.030647955746114005,-0.034267921968507045,1.8756858384342847,0.08447097640413892,1.9601568148384236,1.7912148620301458,2.0446277912425623,1.7067438856260069,1.7590994931160755,1.9681535417521523,2.359294311094564,1.8970518443611193,2.729531704761723,1.573795769665025,1.798426950862316
0.09597637089027737,-0.03181162916270473,0.0024176614901185505,-0.02939396767258618,-0.034229290652823284,-0.02697630618246763,-0.036646952142941835,-0.022653572394474453,-0.026898710746959376,-0.02043034774931184,-0.03176615383981121,-0.024126643720324734,-0.030619425939173075,-0.034303627907342656,1.877043474171257,0.08546310224611288,1.96250657641737,1.791580371925144,2.047969678663483,1.7061172696790312,1.7624638752445838,1.9704709694890608,2.2725350924569705,1.8985440247080396,2.7357228428529288,1.57233074244282,1.8003008468857404
0.09780943655134493,-0.03183015979035374,0.0024548009643748296,-0.029375358825978908,-0.03428496075472857,-0.026920557861604077,-0.0367397617191034,-0.022683936615591784,-0.026924955234418017,-0.01955399114594364,-0.03178487928042772,-0.024177707927849085,-0.03058654472830618,-0.03433245891530202,1.877982583232832,0.08709293966340129,1.9650755228962333,1.7908896435694308,2.0521684625596346,1.7037967039060296,1.7648262330170068,1.9723935151877323,2.1750550515346267,1.8996631741515564,2.7415130190828227,1.5706422673290974,1.8018139372266806
