x_transformed,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
-1.1,1.9038564092770136,1.868140425660875,1.856200283863468,1.8494221575202834,1.8457547752983272,1.8436269057363894,1.8424048280967242,1.8416881110571242,1.8412590190614833,1.8409985254651198,1.8408390064056457,1.840740798981148,1.8406801393044079,1.8406425958832053,1.8406193304980811,1.84060490195088,1.840595949474393,1.840590393081822,1.8405869438467584,1.8405848024240596
-1.0917835671342686,1.9221900790071635,1.8750183251665533,1.8620293440744577,1.854942676935253,1.8512179986786332,1.8490904394396974,1.84787269217012,1.8471590224785626,1.8467318280721183,1.8464725001029523,1.846313698147209,1.8462159331712786,1.846155547096341,1.8461181731220282,1.846095012781508,1.8460806493947197,1.8460717373538063,1.8460662060598365,1.8460627724059997,1.8460606406570537
-1.0835671342685371,1.941200815874887,1.8816708040649561,1.8675800387097352,1.8601738424596297,1.856389880457212,1.8542627506817306,1.8530495593219096,1.8523390886676336,1.851913885512925,1.8516557805729619,1.851497731005912,1.851400430241167,1.8513403312231378,1.8513031350278881,1.8512800848970112,1.8512657898744638,1.8512569202572322,1.8512514152958794,1.8512479979893413,1.851245876389769
-1.0753507014028056,1.9604688977552367,1.8880360461518553,1.872815204956506,1.8650844957632693,1.8612404722167133,1.859113930804798,1.8579054637423762,1.8571983008534718,1.8567751556260088,1.8565183145274595,1.8563610424329757,1.8562642213515177,1.8562044189571958,1.856167406465762,1.8561444702174208,1.8561302458374547,1.8561214200577416,1.856115942306585,1.8561125418921476,1.8561104307801952
-1.0671342685370742,1.9792911809056368,1.89402320897348,1.8776852330647689,1.8696348843173884,1.8657320155399537,1.8636062915242,1.8624026260140565,1.8616988106191013,1.861277746588882,1.8610221834485365,1.860865697491979,1.8607693614403076,1.860709858977243,1.860673032238867,1.8606502111438141,1.8606360581948518,1.8606272767419814,1.8606218265047718,1.8606184431710147,1.8606163426637672
-1.058917835671343,1.996558099795394,1.899500195446277,1.882123013293945,1.8737732668365084,1.869815885778583,1.8676913223543001,1.8664923962518274,1.865791862031351,1.8653728356946497,1.8651185235493108,1.8649628071271747,1.8648669458669205,1.8648077370083378,1.8647710921068803,1.8647483837383296,1.8647343007153863,1.8647255626555856,1.864720139352786,1.8647167727399538,1.8647146826140633
-1.0507014028056114,2.010584993612533,1.9042768979174598,1.8860370182932928,1.8774312692188042,1.873428411838824,1.8713055291572238,1.8701110730916175,1.8694135955501985,1.86899646374258,1.8687433143037029,1.8685883130869476,1.8684928931109779,1.8684339571453288,1.8683974812577548,1.868374877668074,1.8683608596418333,1.86835216191647,1.868346763649676,1.8683434125792822,1.86834133210309
-1.04248496993988,2.018882100407392,1.9080823629081007,1.8893018820798562,1.880517562980905,1.876485187008425,1.874364770590877,1.8731742134980576,1.8724793372938506,1.872063811335258,1.8718116467590127,1.8716572513232346,1.8715622051409602,1.871503500347698,1.8714671676422823,1.8714446528204927,1.871430689860285,1.8714220263072883,1.8714166492518425,1.8714133113496054,1.8714112390490427
-1.0342685370741485,2.018816310848111,1.910636102739059,1.8917910459536569,1.8829414870506773,1.8789028524938982,1.876785969071574,1.8755984223739872,1.874905449055015,1.8744910869954652,1.874239635104479,1.8740856779883717,1.8739909023107066,1.8739323648379607,1.8738961357792563,1.873873685220186,1.873859762126741,1.873851123314764,1.8738457616168178,1.8738424332487613,1.8738403668676762
-1.026052104208417,2.012193373658996,1.912130945057791,1.8935920177401941,1.8847660308678174,1.8807393887052548,1.8786268971763294,1.8774416795370816,1.876750070948395,1.8763365320551006,1.8760855829896748,1.8759319350749535,1.875837350264173,1.8757789308818569,1.8757427749882236,1.8757203697986546,1.8757064748535623,1.8756978535112014,1.8756925026575513,1.875689181021952,1.8756871188208988
