x_real,mean_real,std_real,1sig_upper_real,1sig_lower_real,2sig_upper_real,2sig_lower_real,sample_0_real,sample_1_real,sample_2_real,sample_3_real,sample_4_real,sample_5_real,mean_norm,std_norm,1sig_upper_norm,1sig_lower_norm,2sig_upper_norm,2sig_lower_norm,sample_0_norm,sample_1_norm,sample_2_norm,sample_3_norm,sample_4_norm,sample_5_norm
0.07943282247242814,-0.03344499625964187,0.0034589853876146257,-0.029986010872027243,-0.036903981647256494,-0.026527025484412617,-0.04036296703487112,-0.03927054587121119,-0.029126700931489755,-0.03700985103169128,-0.021485804828690783,-0.030228012198895787,-0.03190675262976987,1.9678147221896438,0.12902135894760813,2.096836081137252,1.8387933632420357,2.22585744008486,1.7097720042944275,2.2268927943299905,2.0303211363582414,1.8567083046134176,2.140061131232008,1.5787710775637365,1.997926097089637
0.08094992067275816,-0.033512461751191255,0.003430477524845363,-0.030081984226345893,-0.03694293927603662,-0.02665150670150053,-0.04037341680088198,-0.039347409029653974,-0.02926181952555997,-0.03708962434650957,-0.021610036540378186,-0.03028926695477836,-0.03195730076242365,1.9718520003340032,0.12656591236250195,2.098417912696505,1.8452860879715012,2.2249838250590073,1.7187201756089994,2.231251430297186,2.0397397841515854,1.8607103681716535,2.152435043197066,1.58197033646023,2.00109130272996
0.08249599413606928,-0.03357572897470465,0.0034059576658957203,-0.030169771308808928,-0.03698168664060037,-0.02676381364291321,-0.04038764430649609,-0.03941902698547893,-0.02938917978618963,-0.03716465537269775,-0.021727631782894424,-0.030347272098011524,-0.03200451125087191,1.9756382811228286,0.12446942901078925,2.1001077101336176,1.8511688521120393,2.224577139144407,1.72669942310125,2.2353126295047114,2.0486176254730832,1.8644745208376008,2.164147939676082,1.5849998721731278,2.0040475129097173
0.08407159626481406,-0.03363456930549491,0.0033856040020750025,-0.030248965303419906,-0.03702017330756991,-0.026863361301344906,-0.04040577730964492,-0.03948515969404377,-0.029508090602006407,-0.037234681109504286,-0.021837890537342163,-0.030401853384480843,-0.0320482408460082,1.979159561837204,0.12275393021092347,2.1019134920481273,1.8564056316262805,2.224667422259051,1.733651701415357,2.2390627798758205,2.0569064853498773,1.867987568403073,2.1751300963443105,1.5878505841513744,2.0067857577054737
0.08567729103095306,-0.03368874526199893,0.003369568115344489,-0.03031917714665444,-0.037058313377343416,-0.02694960903130995,-0.0404278814926879,-0.03954555961714746,-0.02961782258160511,-0.03729942890493619,-0.021940068531289807,-0.03045283044021383,-0.0320883420943197,1.982401278708616,0.1214370630962857,2.103838341804902,1.8609642156123303,2.2252754049011876,1.7395271525160447,2.2424878444007392,2.0645555204410027,1.8712358324768972,2.1853073810705785,1.5905130516891353,2.0092968039237173
0.08731365317782327,-0.0337380101868801,0.0033579701227069024,-0.0303800400641732,-0.037095980309587,-0.027022069941466297,-0.040453950432293904,-0.0395999715195084,-0.02971760624071259,-0.037358616149488266,-0.02203337486151608,-0.03050001657520071,-0.032124663230473346,1.9853482858567313,0.12053097872877942,2.1058792645855107,1.864817307127952,2.22641024331429,1.7442863283991725,2.2455733495956696,2.071511092670951,1.87420513511994,2.194601017134353,1.592977524201887,2.011571148374854
0.0889812684258623,-0.033782107916675734,0.0033508940595701024,-0.03043121385710563,-0.03713300197624583,-0.02708031979753553,-0.04048389603581594,-0.039648132260101714,-0.029806630110030898,-0.03741194996085353,-0.02211696949901607,-0.030543218591971916,-0.03215704806734594,1.9879848334360108,0.12004136581978804,2.1080261992557987,1.8679434676162228,2.228067565075587,1.7479021017964347,2.2483043736702664,2.0777166373339906,1.876880783027676,2.2029273347156373,1.5952339112286626,2.013599010987152
0.09068073368226119,-0.03382077243957503,0.0033483836719141783,-0.03047238876766085,-0.03716915611148921,-0.02712400509574667,-0.04051753978340338,-0.03968977057823582,-0.02988403876045092,-0.03745912685936611,-0.022189960670715193,-0.030582236588791934,-0.03218533588344644,1.9902945449612361,0.11996674017006766,2.110261285131304,1.8703278047911684,2.2302280253013715,1.7503610646211007,2.2506655343968056,2.0831125254386684,1.8792475512478237,2.2101975101045426,1.5972717721531122,2.015370327757388
0.09241265725462187,-0.03385379204001067,0.003350358050915355,-0.030503433989095313,-0.03720415009092602,-0.02715307593817996,-0.04055450814184138,-0.03972467300651415,-0.029949134154628566,-0.037499904702159664,-0.02225161796512351,-0.030616911747963466,-0.03220940141137987,1.9922643670387394,0.12029157691594884,2.112555943954688,1.8719727901227905,2.2328475208706373,1.7516812132068418,2.252644726799492,2.087650099226696,1.8812932919695085,2.2163387917680515,1.5990828121265557,2.0168772547347693
0.09417765906869519,-0.03388133053857929,0.00335622526598414,-0.03052510527259515,-0.037237555804563435,-0.027168880006611013,-0.04059378107054758,-0.039753013353373744,-0.030002388038797834,-0.03753446266469545,-0.022302446221060875,-0.030647365400540333,-0.03222935465504885,1.9939043570369446,0.12095622672630722,2.1148605837632517,1.8729481303106374,2.235816810489559,1.75199190358433,2.25425180693577,2.0913622424892084,1.8830269940580624,2.221401463414152,1.6006733681174086,2.0181266801059565
0.09597637089027737,-0.033903684416543754,0.003365232110594399,-0.030538452305949357,-0.03726891652713815,-0.027173220195354956,-0.040634148637732556,-0.03977510362645716,-0.030044676316138264,-0.03756312908260012,-0.022343373314107087,-0.030673818288623693,-0.03224538984074828,1.9952327221755386,0.12188748881920555,2.1171202109947442,1.873345233356333,2.23900769981395,1.7514577445371275,2.255504467647836,2.094310011393981,1.8844651294383303,2.225477944688224,1.6020549692081203,2.019130765866495
0.09780943655134493,-0.03392114043954724,0.0033766606281442884,-0.03054447981140295,-0.03729780106769153,-0.027167819183258664,-0.040674461695835815,-0.03979124792957587,-0.03007683082662109,-0.037586221865827,-0.02237527504677656,-0.030696484572892868,-0.03225769680501881,1.996267050377089,0.1230158296303676,2.1192828800074563,1.8732512207467213,2.242298709637824,1.7502353911163537,2.2564199535797718,2.096551390615613,1.8856236470005134,2.228655468576634,1.6032388007417504,2.0199013991358017
0.09967751218050783,-0.03393397576695193,0.0033898364749755613,-0.030544139291976368,-0.03732381224192749,-0.02715430281700081,-0.040713648716903056,-0.039801742458617645,-0.03009964045129582,-0.037604048564771474,-0.022398976812695544,-0.0307155718595766,-0.03226646097971578,1.9970243184076373,0.12427680694545905,2.1213011253530962,1.8727475114621783,2.245577932298555,1.7484707045167192,2.2570150609454718,2.098141370311509,1.8865179759170416,2.2310162471646,1.6042357057306451,2.02045019122222
0.10158126643786476,-0.03394245828155897,0.00340413464066928,-0.03053832364088969,-0.03734659292222825,-0.027134189000220413,-0.040750727562897535,-0.03980687573053103,-0.030113852865051027,-0.03761690668748904,-0.022415255912001202,-0.030731281394956577,-0.03227186351901496,1.9975209135003325,0.1256119031583719,2.1231328166587042,1.8719090103419607,2.2487447198170765,1.7462971071835887,2.257306150513535,2.0991320683007437,1.8871630415567548,2.2326377022580104,1.60505619501511,2.020788485575821
0.10352138075434403,-0.033946846907641916,0.0034189831292137695,-0.030527863778428147,-0.03736583003685569,-0.02710888064921438,-0.04078481316606945,-0.03980692880717222,-0.03012017620773574,-0.03762508400780466,-0.022424843745029104,-0.03074380825457955,-0.032274081423879754,1.99777265417022,0.12696889766692604,2.124741551837146,1.870803756503294,2.2517104495040723,1.743834858836368,2.2573091603008244,2.099572846552129,1.8875732809421144,2.2335926838823594,1.6057104571457232,2.020927365582246
0.10549854957561482,-0.033947391917667574,0.003433864953789077,-0.030513526963878497,-0.03738125687145665,-0.02707966201008942,-0.04081512182524573,-0.039802175514142314,-0.030119280676476384,-0.03762885886455419,-0.022428427889001682,-0.030753341527314466,-0.03227328766405192,1.9977948102468794,0.12830189837496386,2.1260967086218434,1.8694929118719155,2.254398606996807,1.7411910134969517,2.257039617981949,2.099510422179097,1.8877626577615343,2.233949677128161,1.6062083679964063,2.020877662201484
0.10751348061065784,-0.03394433522806761,0.003448318802134461,-0.03049601642593315,-0.037392654030202074,-0.02704769762379869,-0.040840972832336536,-0.0397928826547491,-0.030111800041894555,-0.03762850045219322,-0.02242665406218724,-0.030760064494385685,-0.032269651297633775,1.9976021221507403,0.1295711440785185,2.1271732662292586,1.8680309780722217,2.2567444103077774,1.7384598339937032,2.256512653022273,2.0989889731299725,1.887744676948628,2.233772997788039,1.6065595001151052,2.0206499614558235
0.10956689508508306,-0.033937910684405354,0.003461938705190588,-0.030475971979214766,-0.037399849389595945,-0.027014033274024178,-0.04086178809478653,-0.039779310219212924,-0.030098333090808015,-0.03762426910300416,-0.022420127979766395,-0.030764154803511457,-0.03226333758832007,1.9972088194375417,0.1307426702711662,2.1279514897087077,1.8664661491663754,2.258694159979874,1.7357234788952094,2.2557430085412378,2.098050238753648,1.887532398839961,2.2331229772075014,1.6067731318188234,2.020254611770644
0.11165952799928533,-0.03392834433626956,0.003474373000905712,-0.030453971335363848,-0.03740271733717527,-0.026979598334458135,-0.040877090338080985,-0.039761711589241855,-0.0300794449978761,-0.03761641656112123,-0.022409417105416902,-0.030765784638272318,-0.032254508120342286,1.9966286386344732,0.13178790866655796,2.1284165473010312,1.8648407299679153,2.260204455967589,1.7330528213013572,2.254745052913089,2.096733615412221,1.887138452922322,2.2320561367489,1.6068582560395206,2.0197017311719527
0.11379212839153145,-0.03391585470221466,0.0034853228370456354,-0.03043053186516902,-0.03740117753926029,-0.026945209028123387,-0.04088650037630593,-0.03974033373809802,-0.030055668628535655,-0.03760518624859123,-0.02239505230241059,-0.030765120882831603,-0.03224332091118567,1.9958748403905529,0.13268327016069417,2.128558110551247,1.8631915702298587,2.261241380711941,1.7305083000691646,2.2535327911119265,2.09507624730413,1.8865750511804453,2.2306253522464474,1.606823588927258,2.019001214344466
0.11596545960607073,-0.033900653025050714,0.0034945404079616466,-0.030406112617089066,-0.03739519343301236,-0.026911572209127422,-0.04088973384097401,-0.03971541742626842,-0.030027505775459304,-0.03759081352367969,-0.022377529387805357,-0.03076232528212626,-0.03222993052213611,1.994960225962661,0.13340974408583553,2.128369970048497,1.8615504818768256,2.2617797141343323,1.72814073779099,2.2521198758075,2.093113112653365,1.8858540010557006,2.2288800088091616,1.6066775782167628,2.018162739553793
