x_transformed,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31
-1.1,1.9717800901978384,1.9815636520009026,1.9737068649938352,1.9672952862426327,1.9638522964297154,1.9627900508458942,1.9630144544576098,1.9637291589034886,1.9645265429096201,1.9652433387092791,1.9658341680977047,1.9663015816405167,1.9666638004790866,1.9669415349197887,1.9671533269064527,1.9673143798873123,1.967436674887447,1.967529473053765,1.9675998643780717,1.967653250412526,1.9676937363725866,1.9677244385046784,1.967747720961447,1.9677653768309655,1.9677787659167336,1.9677889193898337,1.967796619201856,1.9678024583187974,1.9678068863991185,1.9678102444309755,1.9678127909968661
-1.0917835671342686,1.9778663775012801,1.9865158430181538,1.9783464370595472,1.9717039563971428,1.9681130987440358,1.9669655881054062,1.96714249410637,1.9678296723965936,1.9686097947712065,1.9693148843865935,1.969897313173401,1.9703584935619758,1.9707160079653796,1.9709901647764863,1.9711992287068836,1.9713582006060903,1.9714789089221951,1.9715704983719906,1.971639969705715,1.9716926560449668,1.9717326101946613,1.9717629083264712,1.9717858840003748,1.9718033069833911,1.9718165193219144,1.9718265386789968,1.9718341367379937,1.9718398986638204,1.9718442681907864,1.9718475818097285,1.9718500946898638
-1.0835671342685371,1.9836000167623866,1.9911677487962858,1.9827029103348095,1.9758422857575761,1.9721116492416617,1.9708834376296815,1.9710153022327739,1.971676316401457,1.9724399946249374,1.973133913949789,1.9737083186603628,1.9741635422080281,1.9745165597177583,1.9747872964827962,1.9749937525125771,1.9751507350403505,1.9752699266453493,1.9753603607201864,1.975428952687687,1.9754809702437368,1.9755204160873108,1.9755503280798141,1.9755730105370526,1.975590210933893,1.9756032543436126,1.975613145517952,1.97562064632583,1.9756263344759548,1.9756306480404502,1.9756339192117416,1.975636399896751
-1.0753507014028056,1.9889538786383214,1.9954998400991955,1.9867586764788219,1.979694067442505,1.9758326323670374,1.9745287937644602,1.9746183541356035,1.9752547269684417,1.9760028781516978,1.9766862300729828,1.9772530350659787,1.9777026134870086,1.9780513683335768,1.9783188629250308,1.9785228466803255,1.9786779433496564,1.9787956972165595,1.9788850361151114,1.9789527945605307,1.979004178215659,1.9790431422752497,1.9790726882821648,1.9790950928300455,1.9791120822628039,1.979124965565332,1.9791347352514284,1.979142143887639,1.979147762115614,1.9791520226408768,1.9791552535818746,1.9791577037535926
-1.0671342685370742,1.9938994056670114,1.9994916928627957,1.990495349603158,1.9832424017909642,1.979260093553954,1.9778862424768415,1.977936533498084,1.9785499580429127,1.9792836047752285,1.97995706308257,1.9805167433316417,1.9809610257964505,1.9813057804477059,1.9815702322038056,1.9817718956785466,1.9819252224898578,1.9820416271139076,1.9821299382898208,1.9821969145799783,1.9822477034171537,1.9822862154079361,1.9823154180087936,1.9823375617967884,1.9823543532860441,1.982367086364394,1.982376742062157,1.9823840642172228,1.982389616840171,1.9823938276010846,1.9823970207958732,1.9823994423384397
-1.058917835671343,1.9984065445162758,2.0031219505788327,1.9938937345383012,1.9864696688542396,1.9823774143906312,1.9809397380333709,1.9809541098844035,1.9815464594191345,1.982266735893084,1.9829310493713082,1.9834841333762303,1.9839235086618228,1.9842645554429277,1.9845261863988708,1.9847256988936306,1.9848773850511177,1.9849925389961016,1.9850798975742792,1.9851461489155913,1.9851963864595454,1.9852344794729944,1.9852633638123698,1.9852852659378533,1.9853018739829464,1.9853144678424588,1.985324017903441,1.9853312599140316,1.9853367517392588,1.9853409163825393,1.9853440745972404,1.9853464696087126
-1.0507014028056114,2.0024436751605643,2.0063682851410585,1.996933793830257,1.9893574998092243,1.9851672868273522,1.9836725787887515,1.9836547153832562,1.9842280538612256,1.984936212286601,1.9855922089992033,1.986139281831855,1.9865741805715462,1.9869118433596176,1.9871708995355182,1.9873684486396002,1.9875186373005822,1.987632649770326,1.9877191389824087,1.9877847287524224,1.9878344632218479,1.987872173917451,1.9879007678506242,1.9879224494694898,1.9879388901324992,1.9879513569645797,1.987960810640343,1.9879679795259737,1.9879734158788076,1.9879775384441203,1.9879806647429117,1.987983035547414
-1.04248496993988,2.0059775368497235,2.009207356091866,1.999594613416887,1.9918867472512045,1.9876116863897106,1.9860673820511552,1.9860213203659356,1.9865779133595334,1.9872753306787199,1.9879239224503742,1.9884656289412712,1.9888965259778422,1.9892311619743945,1.9894879147223328,1.9896837073409308,1.9898325563995993,1.989945547835701,1.990031259475542,1.9900962575696999,1.990145542141033,1.9901829109468152,1.9902112451921186,1.990232729634481,1.9902490206280623,1.9902613738768486,1.990270741369555,1.9902778448709681,1.9902832316238763,1.990287316565925,1.9902904143277953,1.990292763488228
-1.0342685370741485,2.0089811627708456,2.0116203814496556,2.0018594061804222,1.9940420761511564,1.9896962012582626,1.9881102639905244,1.988040331782077,1.9885826111466198,1.989270767314202,1.9899129352168203,1.9904499696318243,1.990877376392408,1.9912093703796045,1.991464112018401,1.9916583710440812,1.9918060505918276,1.9919181507367982,1.9920031836845944,1.9920676653926432,1.9921165573453596,1.992153627808157,1.9921817354533418,1.9922030478486528,1.9922192082514352,1.9922314623977904,1.9922407546962864,1.9922478011510876,1.9922531446293315,1.99225719674629,1.9922602696107534,1.9922625998876167
-1.026052104208417,2.0114737591867593,2.013621085943299,2.003740604063881,1.9958349789052288,1.9914317290295769,1.9898117855259358,1.9897221282903206,1.9902524239383097,1.990932737127548,1.9915694213975,1.9921024491528414,1.9925268558294498,1.9928565766177107,1.9931095873333908,1.9933025264072994,1.9934491994752965,1.9935605326859303,1.9936449817170634,1.9937090192031082,1.9937575734386503,1.9937943872973447,1.9938223000564128,1.9938434644907732,1.9938595125892498,1.993871681512791,1.993880909149663,1.9938879065492765,1.9938932128154891,1.9938972367063077,1.9939002881617613,1.9939026022009374
