x_real,mean_real,std_real,1sig_upper_real,1sig_lower_real,2sig_upper_real,2sig_lower_real,sample_0_real,sample_1_real,mean_norm,std_norm,1sig_upper_norm,1sig_lower_norm,2sig_upper_norm,2sig_lower_norm,sample_0_norm,sample_1_norm
0.07943282247242814,-0.03051461216239186,0.0017326612639992727,-0.028781950898392587,-0.03224727342639113,-0.027049289634393316,-0.03397993469039041,-0.01605720500085734,-0.03060948153757455,1.4284306307793073,0.06341277347753065,1.491843404256838,1.3650178573017766,1.5552561777343685,1.3016050838242461,1.2234625899684657,1.4297756292113832
0.08094992067275816,-0.03059631721139272,0.0016367707477297198,-0.028959546463663,-0.03223308795912244,-0.027322775715933282,-0.03386985870685216,-0.016148261316066077,-0.030691125223651035,1.4322645936495488,0.05725088448067075,1.4895154781302196,1.375013709168878,1.5467663626108903,1.3177628246882074,1.2304005343512094,1.4335892237829817
0.08249599413606928,-0.03067267038766301,0.0015486493327863306,-0.02912402105487668,-0.03222131972044934,-0.027575371722090347,-0.03376996905323567,-0.016238354276276394,-0.03076738823958324,1.4358483841975458,0.05126141152281032,1.487109795720356,1.3845869726747355,1.5383712072431663,1.3333255611519252,1.2372650768684754,1.4371514860661954
0.08407159626481406,-0.03074334071927159,0.0014703453703207214,-0.02927299534895087,-0.03221368608959231,-0.027802649978630148,-0.033684031459913034,-0.016325681215474935,-0.030837949270683295,1.4391661961592574,0.04556926818301526,1.4847354643422728,1.3935969279762421,1.5303047325252879,1.348027659793227,1.243918865195906,1.440447407381133
0.08567729103095306,-0.030807981622235758,0.001404190046565623,-0.029403791575670135,-0.03221217166880138,-0.027999601529104513,-0.033616361715367006,-0.01640798531030932,-0.03090247426794198,1.4422014067342497,0.040369058432092396,1.482570465166342,1.4018323483021573,1.5229395235984344,1.361463289870065,1.2501899429473398,1.443461384224947
0.08731365317782327,-0.030866229894008092,0.0013526863660487036,-0.029513543527959388,-0.032218916260056796,-0.028160857161910684,-0.0335716026261055,-0.016482467736040392,-0.0309606160113427,1.4449365126866542,0.03595724773643317,1.4808937604230874,1.408979264950221,1.5168510081595206,1.373022017213788,1.2558650564859168,1.4461771978741318
0.0889812684258623,-0.03091770459410571,0.0013182918171374576,-0.029599412776968252,-0.03223599641124317,-0.028281120959830795,-0.03355428822838062,-0.016545684628457853,-0.0310120136592804,1.447353058254063,0.03274997576645722,1.4801030340205203,1.4146030824876057,1.5128530097869775,1.3818531067211486,1.2606818040408427,1.4485779933377825
0.09068073368226119,-0.030962005795360598,0.0013031000525436985,-0.029658905742816898,-0.0322651058479043,-0.0283558056902732,-0.033568205900448,-0.016593426381971293,-0.03105629228366245,1.4494315536179252,0.031224908062890463,1.4806564616808155,1.4182066455550348,1.5118813697437061,1.3869817374921443,1.2643194389467975,1.4506462576420551
0.09241265725462187,-0.030998810580566555,0.0013080189396970905,-0.029690791640869463,-0.03230682952026365,-0.028382772701172374,-0.03361484845996074,-0.016621894594050175,-0.031093151773385952,1.4511561851497206,0.03167681729381627,1.4828330024435368,1.4194793678559043,1.514509819737353,1.3878025505620881,1.2664885457421546,1.4523679725311864
0.09417765906869519,-0.031028357437419427,0.0013303265827461603,-0.029698030854673266,-0.03235868402016559,-0.028367704271927106,-0.03368901060291175,-0.016634161649819304,-0.031122812020137426,1.4525386832084202,0.03379506981454581,1.4863337530229659,1.4187436133938744,1.5201288228375118,1.3849485435793285,1.267423221722301,1.4537534091943196
