x_transformed,x_real,y_real,y_normalised,Std_real,Upper_CI_real,Lower_CI_real,Std_normalised,Upper_CI_normalised,Lower_CI_normalised
-1.1,0.0794328224724281,-0.02652065154534306,1.704313474499744,0.0014131797561215528,-0.02375087011966372,-0.029290432971022403,0.0014131797561215528,-0.02647755125355621,-0.026563751837129914
-1.0917835671342686,0.0809499206727581,-0.02666984537978023,1.713901212640672,0.001247396497923612,-0.024224993169408557,-0.0291146975901519,0.001247396497923612,-0.026631801279019856,-0.026707889480540602
-1.0835671342685371,0.0824959941360692,-0.026811247001825144,1.722988194887516,0.001078967152816085,-0.024696510241803894,-0.028925983761846394,0.001078967152816085,-0.02677833979457613,-0.02684415420907416
-1.0753507014028056,0.084071596264814,-0.026943845237942514,1.731509439553144,0.0009097669536981838,-0.025160734774369354,-0.028726955701515674,0.0009097669536981838,-0.026916098434329898,-0.02697159204155513
-1.0671342685370742,0.085677291030953,-0.027066553336040144,1.7393951079976189,0.0007434184055467465,-0.02560948003572433,-0.028523626636355957,0.0007434184055467465,-0.02704387996412126,-0.02708922670795903
-1.058917835671343,0.0873136531778233,-0.027178204195036616,1.746570198062877,0.0005876108652717475,-0.026026508062179574,-0.02832990032789366,0.0005876108652717475,-0.02716028276668284,-0.027196125623390393
-1.0507014028056114,0.0889812684258623,-0.027277545317410827,1.752954219705212,0.0004599009031454396,-0.02637615611078832,-0.028178934524033333,0.0004599009031454396,-0.027263518890105493,-0.02729157174471616
-1.04248496993988,0.0906807336822611,-0.027363233469428795,1.75846085184204,0.00039626951135308193,-0.026586559499005468,-0.028139907439852122,0.00039626951135308193,-0.027351147723442434,-0.027375319215415157
-1.0342685370741485,0.0924126572546218,-0.027434158353848916,1.7630187427365334,0.0004302886260005087,-0.026590808143930694,-0.028277508563767137,0.0004302886260005087,-0.0274210350655674,-0.027447281642130433
-1.026052104208417,0.0941776590686951,-0.0274910799012492,1.7666767282900862,0.0005359955586349163,-0.026440547910451334,-0.028541611892047063,0.0005359955586349163,-0.027474732677993594,-0.027507427124504803
-1.0178356713426857,0.0959763708902774,-0.02753538967353577,1.7695242353293046,0.0006714075819429916,-0.02621945499398038,-0.028851324353091158,0.0006714075819429916,-0.027514912545580677,-0.02755586680149086
-1.009619238476954,0.0978094365513449,-0.027568387296574442,1.7716447825366428,0.0008144719006232831,-0.02597205170493292,-0.029164722888215963,0.0008144719006232831,-0.02754354687806647,-0.027593227715082415
-1.0014028056112223,0.0996775121805077,-0.02759128419861219,1.7731162206949596,0.0009556546733783831,-0.02571823545713317,-0.02946433294009121,0.0009556546733783831,-0.027562137874450908,-0.02762043052277347
-0.993186372745491,0.1015812664378647,-0.027605208233142282,1.7740110297696334,0.0010906001761707875,-0.0254676711663145,-0.029742745299970064,0.0010906001761707875,-0.027571946232599082,-0.027638470233685482
-0.9849699398797596,0.103521380754344,-0.027611208012913,1.7743965974277196,0.0012171108628466255,-0.025225714556541143,-0.029996701469284855,0.0012171108628466255,-0.027574087587787743,-0.027648328438038255
-0.9767535070140282,0.1054985495756148,-0.027610256967738313,1.7743354798076152,0.001333975624570461,-0.024995712787325885,-0.03022480114815074,0.001333975624570461,-0.027569572307201334,-0.02765094162827529
-0.9685370741482968,0.1075134806106578,-0.027603257137989997,1.7738856453026497,0.0014404803160895825,-0.024779967598015543,-0.03042654667796445,0.0014404803160895825,-0.02755932421178741,-0.027647190064192584
-0.9603206412825652,0.109566895085083,-0.027591042714903685,1.7731007020740246,0.0015361838493831426,-0.02458017769648062,-0.030601907733326748,0.0015361838493831426,-0.027544190945438505,-0.027637894484368864
-0.952104208416834,0.1116595279992853,-0.02757438333811273,1.7720301099623244,0.0016208068598960901,-0.024397660266820935,-0.030751106409404524,0.0016208068598960901,-0.027524950668072666,-0.027623816008152793
-0.9438877755511024,0.1137921283915314,-0.02755398716013294,1.7707193774224463,0.0016941722389874428,-0.024233470588109967,-0.030874503732155913,0.0016941722389874428,-0.027502316933807346,-0.027605657386458534
