x_real,student_t_mean_real,student_t_std_pred_real,student_t_1sig_upper_real,student_t_1sig_lower_real,student_t_2sig_upper_real,student_t_2sig_lower_real,sample_0_real,sample_1_real,sample_2_real,sample_3_real,sample_4_real,sample_5_real,sample_6_real,student_t_mean_norm,student_t_std_pred_norm,student_t_1sig_upper_norm,student_t_1sig_lower_norm,student_t_2sig_upper_norm,student_t_2sig_lower_norm,sample_0_norm,sample_1_norm,sample_2_norm,sample_3_norm,sample_4_norm,sample_5_norm,sample_6_norm
0.07943282247242814,-0.0316196685363303,4.5249140372483995e-05,-0.03157441939595782,-0.031664917676702785,-0.03152917025558533,-0.03171016681707527,-0.021563093836096482,-0.026322922491223245,-0.016712849107145898,-0.031651410339342094,-0.02341832845268166,-0.03101478256063624,-0.0333243577524878,1.7735041693836646,0.0025379626930441134,1.7760421320767088,1.7709662066906204,1.7785800947697528,1.7684282439975765,1.677623875954284,1.928291474227228,1.859025433975127,1.7734659934405976,2.6554068950528524,1.237602679470087,2.0157458282977823
0.08132431905650853,-0.03162412660866416,4.431849295144548e-05,-0.03157980811571272,-0.03166844510161561,-0.03153548962276127,-0.03171276359456705,-0.021765231285322904,-0.02642292295113521,-0.017722544079276936,-0.03165582095676793,-0.023523992327863445,-0.03097073701788056,-0.03347867437068268,1.773754216592807,0.0024857639459401845,1.7762399805387472,1.771268452646867,1.7787257444846873,1.7687826887009268,1.693350311762817,1.935617029903325,1.9713371422730162,1.7737131255567005,2.6673881337344536,1.2358451020430463,2.0250802341301086
0.0832608569619369,-0.031626701111035854,4.3522282009057106e-05,-0.031583178829026795,-0.03167022339304491,-0.03153965654701774,-0.031713745675053966,-0.021953404827045633,-0.02651601948948483,-0.018819358983164922,-0.0316583524577827,-0.02362541245943835,-0.030924545716165038,-0.03362243461694629,1.773898616926575,0.0024411055579367734,1.7763397224845117,1.7714575113686382,1.7787808280424484,1.7690164058107014,1.7079903457401526,1.9424368372875351,2.09333948846897,1.7738549685556038,2.6788881738515498,1.2340019010256098,2.0337760991437204
0.08524350873658111,-0.03162735467375183,4.286335600934811e-05,-0.03158449131774248,-0.03167021802976118,-0.03154162796173313,-0.031713081385770524,-0.022125226853898085,-0.026601625046300783,-0.019943726778619945,-0.03165896101260829,-0.023722215717094607,-0.03087617192646832,-0.03375463633507795,1.7739352743697232,0.002404147295504121,1.7763394216652273,1.7715311270742191,1.7787435689607314,1.769126979778715,1.7213582203528393,1.9487078911725937,2.218406633842748,1.77388906660295,2.689864706116156,1.2320716107961769,2.0417728042504466
0.08727337246838893,-0.03162605196361523,4.234289240977089e-05,-0.03158370907120546,-0.031668394856025,-0.03154136617879569,-0.031710737748434775,-0.022278074453936102,-0.026679120554423827,-0.020984781208703274,-0.03165760203158594,-0.023814009644801067,-0.03082557841619033,-0.03387421729680112,1.7738622071313332,0.0023749552006280448,1.7762371623319613,1.7714872519307052,1.7786121175325893,1.7691122967300772,1.7332498712056885,1.954384841657647,2.334206558276332,1.7738129212873692,2.700273229894795,1.2300527456385244,2.049006096682596
0.08935157239356134,-0.031622753093671255,4.196016700618601e-05,-0.03158079292666507,-0.03166471326067744,-0.03153883275965888,-0.03170667342768363,-0.02240906982534384,-0.02674785343933593,-0.021752109225294095,-0.03165423015349214,-0.023900381612597832,-0.030772727442904213,-0.033980052114743566,1.7736771780064018,0.0023534886536841085,1.7760306666600858,1.7713236893527178,1.77838415531377,1.7689702006990335,1.743441403292111,1.9594198842529076,2.419558989205305,1.7736239909658047,2.710066957029942,1.227943799492485,2.055407903263256
0.09147925951920907,-0.03161736070574741,4.1712410519551095e-05,-0.03157564829522786,-0.03165907311626696,-0.031533935884708306,-0.03170078552678651,-0.022515081544767047,-0.026807140696188735,-0.02193749269152329,-0.03164879960170495,-0.023980900425244023,-0.030717580552190222,-0.0340709569960508,1.7733747263075523,0.0023395923295802044,1.7757143186371325,1.7710351339779722,1.7780539109667128,1.7686955416483918,1.7516891896713378,1.9637629852880492,2.4401798047556107,1.7733197107199343,2.7191969942447747,1.2257432378867847,2.06090661794601
0.09365761226083551,-0.03160982485305474,4.1589663775737837e-05,-0.031568235189279,-0.03165141451683048,-0.031526645525503265,-0.031693004180606214,-0.022595008221317534,-0.0268567460596202,-0.021404820479058694,-0.031641302123331654,-0.024055372332992847,-0.03066007837484178,-0.03414651019368567,1.7729520505873764,0.0023327076317953125,1.7752847582191718,1.770619342955581,1.777617465850967,1.7682866353237858,1.7579075413571386,1.967396837092032,2.380928914342193,1.7728996181304086,2.7276413722337307,1.2234486917740508,2.065476729816679
0.09588783709499979,-0.03160029194699521,4.1571362694400696e-05,-0.03155872058430081,-0.03164186330968961,-0.03151714922160641,-0.031683434672384006,-0.022651774342031864,-0.02689729545788206,-0.02047139661512115,-0.0316317999627494,-0.024124063840525695,-0.030600123068219617,-0.03420776660526912,1.772417362862124,0.00233168114905346,1.7747490440111775,1.7700856817130706,1.777080725160231,1.767754000564017,1.762323985499131,1.9703672921765487,2.277101093447353,1.7723672008233704,2.735430309992583,1.2210562568769507,2.0691820482214007
0.09817116922752188,-0.031588843065988664,4.1636444738884045e-05,-0.03154720662124978,-0.03163047951072755,-0.03150557017651089,-0.031672115955466436,-0.022688488115187363,-0.026929476892431362,-0.019378846633571086,-0.03162036235432941,-0.024187272083251242,-0.030537612104512474,-0.0342558814370192,1.7717752107100058,0.002335331512342708,1.7741105422223484,1.769439879197663,1.776445873734691,1.7671045476853204,1.7651803428887618,1.9727247502395928,2.1555731486565275,1.7717263380826056,2.7425974997387144,1.218561841962741,2.072092450039189
