x_transformed,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12
-1.1,1.3180337216115097,1.318563439922246,1.3195126615261858,1.3212152444007128,1.3243057237164995,1.3300252467491593,1.340133084989863,1.3537393023741149,1.3615554827307808,1.3628542062314133,1.3634045362119351,1.3634152019395451
-1.0897795591182369,1.3202446584582932,1.3207597008127117,1.3216830496984062,1.3233406459825723,1.326354380023614,1.3319510198681472,1.3419225842619573,1.355676126598658,1.3643834351992012,1.365958431343665,1.3664665349359573,1.36647664990801
-1.079559118236473,1.3207825560810345,1.321283767958698,1.3221829671360026,1.3237993632056306,1.326745631572305,1.3322460097187263,1.3421685402965915,1.3563540963754945,1.3665573330695384,1.3687729986659065,1.369247129786288,1.3692567090972267
-1.0693386773547096,1.31997131928714,1.3204587537395234,1.3213340252723156,1.3229100457791607,1.3257918179419652,1.3312072566512951,1.3411257043718467,1.3559095152623994,1.3680082749889895,1.3712624302122414,1.3717288619840573,1.3717377291627695
-1.059118236472946,1.3185813644987854,1.319053930066423,1.3199033064236536,1.321435386371127,1.3242460685803457,1.3295639967435933,1.339455058680046,1.3548049202360024,1.3688089857089176,1.3733603550809563,1.373892749410471,1.373901225654139
-1.0488977955911825,1.317912921296932,1.3183685639670863,1.3191881671727417,1.3206686960331127,1.323392227993323,1.3285743162357098,1.3383348242944488,1.3539698050246787,1.369345378945159,1.3750269969904412,1.3757171849057357,1.375727742475911
-1.038677354709419,1.3198891998557687,1.3203256519018018,1.3211110004889959,1.3225305499707256,1.3251450692916944,1.3301325661302246,1.3395834551825745,1.3549578361356907,1.3705336810468614,1.3764519619666609,1.3771860422387512,1.3771977751973068
-1.0284569138276554,1.3253797133147724,1.32579458885232,1.3265408906220708,1.3278891449480774,1.3303700548247492,1.3350948059765417,1.34402268011426,1.3584747906359507,1.3728249355390152,1.3777866989857175,1.3782982202952831,1.3783054471830243
-1.018236472945892,1.3326684637469588,1.333058542611215,1.3337596666064,1.3350244293173783,1.337345469929694,1.3417429959880112,1.3499684123722095,1.3629994644582935,1.375206655553888,1.3787338256813875,1.379063699250922,1.3790691606410657
-1.0080160320641285,1.3403404609880196,1.3407026785053129,1.3413529358577203,1.3425233478946184,1.3446625371306913,1.3486834248355488,1.3560830773427959,1.3673952026616947,1.3770745507874007,1.3792628372105402,1.3795057179689758,1.379510533990068
-0.9977955911823648,1.3475022450476608,1.347834514121062,1.348430106189259,1.349499159437466,1.3514430824489794,1.3550598551201996,1.3615744228343447,1.3710602831521055,1.3782443473570885,1.379445045444521,1.3796462619098901,1.3796503441015762
-0.9875751503006012,1.3536483833899335,1.3539499957485122,1.3544897055393557,1.3554553902610718,1.3572009696443879,1.3604101214434363,1.3660425171462687,1.37375602663628,1.3787516635880555,1.379338236218118,1.3795052346187648,1.3795084686614731
-0.9773547094188376,1.3585482714979624,1.3588199410285926,1.3593051823046784,1.3601704794445153,1.361724632330571,1.364544685607281,1.3693508698423011,1.375466504756402,1.378716756130183,1.3789737547290573,1.3791016847670847,1.3791040371087482
-0.9671342685370744,1.3621553009108547,1.3623989426569547,1.362833336774069,1.363605368169935,1.3649831494552538,1.3674499786878687,1.3715252718016298,1.3762943193985242,1.3782688261297154,1.3783700236136536,1.3784540280546822,1.3784554783155167
-0.9569138276553107,1.3645377517534627,1.364756090760077,1.3651447419216856,1.3658333910960083,1.367055215386238,1.3692158398329173,1.372679407210971,1.3763896545841892,1.3775130679084324,1.377542520912808,1.3775800155439784,1.377580541632425
-0.9466933867735472,1.365829248182241,1.3660253374772822,1.3663739495128309,1.3669902131512306,1.3680786408411212,1.3699844382281594,1.3729639006324084,1.375906484291652,1.3765231222003806,1.3765069932517566,1.3764967400812447,1.376496321042177
-0.9364729458917836,1.3661959268141997,1.3663726334703843,1.3666865738239824,1.3672408336399164,1.3682172664360341,1.3699172480456605,1.3725345434699914,1.3749790237938075,1.3753456423727592,1.3752794867988283,1.3752206633353496,1.375219280665304
-0.92625250501002,1.3658173175265984,1.3659768163113812,1.366260197308672,1.3667605354225725,1.3676420357814845,1.369176539087619,1.3715354481004474,1.3737121474394713,1.3740085742254626,1.373875800379735,1.373767641844402,1.3737652794413702
-0.9160320641282568,1.3648780924588984,1.3650213916414837,1.3652762118339228,1.3657268421887103,1.366523192946968,1.3679181398351719,1.370093388713862,1.3721807981999112,1.3725287782453153,1.3723111855101344,1.3721529508174939,1.3721495948823685
-0.9058116232464932,1.3635681258699053,1.3636946409122384,1.363920013275942,1.3643198722725058,1.3650309371770935,1.3662926933544648,1.3683203036670553,1.3704348913640239,1.3709173184529826,1.370600289371598,1.3703913070301452,1.3703869460581761
-0.8955911823647296,1.3620885918312289,1.3621957801610016,1.3623872695295414,1.3627288016296182,1.3633422354986022,1.3644530906572858,1.3663216430015486,1.368507575156875,1.3691822614288993,1.368757189362994,1.3684968910741842,1.368491515863424
-0.885370741482966,1.3606620098450155,1.3607450829686598,1.36089418097153,1.361162366965542,1.3616517507881636,1.3625661080970757,1.3642088001649841,1.3664257951667738,1.3673295555947957,1.366795434206095,1.3664833689249327,1.3664769725840817
-0.8751503006012025,1.3595441575879417,1.3595958940625472,1.359689673487785,1.3598613757486566,1.3601849080186972,1.3608264062404543,1.3621141659869143,1.3642228299327854,1.3653628833902105,1.3647280725343498,1.3643639128263958,1.3643564907852834
-0.864929859719439,1.3590355526108893,1.3590462449576515,1.3590672533964605,1.3591109873294585,1.3592109359556575,1.359470902375255,1.360207309848449,1.3619527609544577,1.3632835923751332,1.3625676802042808,1.3621512215195806,1.3621427715437504
-0.8547094188376755,1.3594897262990078,1.3594473044710966,1.359373775073932,1.359250051238907,1.3590532452976207,1.3587910612825636,1.3587103694175473,1.359706646726041,1.3610920740533001,1.3603264079360402,1.359857539843187,1.3598480620479372
-0.8444889779559119,1.361314758256781,1.3612051390473707,1.3610116092473357,1.3606740170261056,1.3600937164900033,1.3591398323173582,1.357909873588019,1.3576294038992252,1.3587922651344395,1.358016059475348,1.3574946777310544,1.3574841745880053
-0.8342685370741485,1.3649635169908196,1.3647712297606571,1.3644296613628213,1.3638268722224158,1.3627663763333624,1.360928794428085,1.3581609136235797,1.3559349620211982,1.3564010845397656,1.3556481366636077,1.3550740285559664,1.3550625049494405
-0.8240480961923848,1.3709068082427638,1.370615939447863,1.3700974198106304,1.369176265374829,1.3675345850403897,1.3646095934343523,1.359877835939974,1.354915066087412,1.3539641254622479,1.353233608525276,1.3526065866832573,1.3525940502148626
