x_real,student_t_mean_real,student_t_std_pred_real,student_t_1sig_upper_real,student_t_1sig_lower_real,student_t_2sig_upper_real,student_t_2sig_lower_real,sample_0_real,sample_1_real,student_t_mean_norm,student_t_std_pred_norm,student_t_1sig_upper_norm,student_t_1sig_lower_norm,student_t_2sig_upper_norm,student_t_2sig_lower_norm,sample_0_norm,sample_1_norm
0.07943282247242814,-0.030729996038681102,7.409034248535852e-05,-0.030655905696195744,-0.03080408638116646,-0.030581815353710386,-0.03087817672365182,-0.016057205007704092,-0.030730063168327677,1.3634152019395451,0.0032872083398348736,1.36670241027938,1.3601279935997102,1.3699896186192149,1.3568407852598754,1.223462590490147,1.363416412019311
0.08132431905650853,-0.030798997971335017,7.088320672422832e-05,-0.03072811476461079,-0.030869881178059246,-0.03065723155788656,-0.030940764384783475,-0.01617038607168519,-0.03079906378209741,1.36647664990801,0.0031449155245053557,1.3696215654325155,1.3633317343835047,1.3727664809570208,1.3601868188589994,1.2320863078597832,1.366477797501591
0.0832608569619369,-0.030861657686255605,6.812544106970278e-05,-0.0307935322451859,-0.03092978312732531,-0.0307254068041162,-0.03099790856839501,-0.016281426561273304,-0.030861722208534982,1.3692567090972267,0.003022560168128673,1.3722792692653554,1.3662341489290981,1.375301829433484,1.3632115887609695,1.2405469263158335,1.3692577959183967
0.08524350873658111,-0.030917577362578382,6.588635797405316e-05,-0.030851691004604328,-0.030983463720552436,-0.030785804646630277,-0.031049350078526487,-0.01638654463691483,-0.0309176401363342,1.3717377291627695,0.0029232174956736598,1.3746609466584432,1.3688145116670958,1.3775841641541169,1.365891294171422,1.2485562923960458,1.3717387351885164
0.08727337246838893,-0.030966340379533826,6.42291374894173e-05,-0.03090211124204441,-0.031030569517023245,-0.03083788210455499,-0.031094798654512663,-0.016480769702121284,-0.030966402216681517,1.373901225654139,0.0028496906524266234,1.3767509163065657,1.3710515350017123,1.3796006069589921,1.3682018443492858,1.2557356764987762,1.3739021873189454
0.08935157239356134,-0.031007508216461116,6.320351872100746e-05,-0.030944304697740108,-0.031070711735182124,-0.030881101179019103,-0.03113391525390313,-0.016557653234597205,-0.031007575429414777,1.375727742475911,0.0028041864415414564,1.3785319289174525,1.3729235560343693,1.3813361153589938,1.370119369592828,1.2615937399515311,1.3757289402829271
0.09147925951920907,-0.031040641263269574,6.283815718592568e-05,-0.030977803106083647,-0.0311034794204555,-0.030914964948897724,-0.031166317577641423,-0.016608989497362153,-0.031040711525118378,1.3771977751973068,0.002787976238633931,1.3799857514359408,1.3744097989586728,1.3827737276745746,1.371621822720039,1.2655052548757255,1.3771991063696372
0.09365761226083551,-0.031065607066558868,6.309832970704817e-05,-0.03100250873685182,-0.031128705396265915,-0.030939410407144773,-0.031191803725972963,-0.016631934612647732,-0.031065665837566075,1.3783054471830243,0.0027995194607670824,1.3811049666437913,1.3755059277222572,1.3839044861045584,1.3727064082614902,1.2672535348642366,1.3783062670987083
0.09588783709499979,-0.031082820393436048,6.386120086418022e-05,-0.031018959192571867,-0.03114668159430023,-0.03095509799170769,-0.031210542795164407,-0.016635414837532912,-0.03108287467225617,1.3790691606410657,0.002833366199030433,1.3819025268400962,1.3762357944420351,1.3847358930391265,1.3734024282430048,1.267518707100094,1.3790697802590843
0.09817116922752188,-0.031092768501134366,6.499434972867138e-05,-0.031027774151405695,-0.03115776285086304,-0.030962779801677023,-0.03122275720059171,-0.016627886259072196,-0.031092821142597822,1.379510533990068,0.0028836412588112113,1.382394175248879,1.3766268927312568,1.3852778165076904,1.3737432514724455,1.2669450746340554,1.379511080390203
