x_real,student_t_mean_real,student_t_std_pred_real,student_t_1sig_upper_real,student_t_1sig_lower_real,student_t_2sig_upper_real,student_t_2sig_lower_real,sample_0_real,sample_1_real,sample_2_real,sample_3_real,sample_4_real,sample_5_real,sample_6_real,sample_7_real,student_t_mean_norm,student_t_std_pred_norm,student_t_1sig_upper_norm,student_t_1sig_lower_norm,student_t_2sig_upper_norm,student_t_2sig_lower_norm,sample_0_norm,sample_1_norm,sample_2_norm,sample_3_norm,sample_4_norm,sample_5_norm,sample_6_norm,sample_7_norm
0.07943282247242814,-0.032015541667689294,5.023738778776094e-05,-0.03196530427990153,-0.032065779055477056,-0.03191506689211377,-0.03211601644326482,-0.029625400176284806,-0.01660104257020483,-0.039777172995396716,-0.029723910654298837,-0.03709732092258478,-0.021485804206643314,-0.030477338493895133,-0.03201207599724148,1.9371547017555113,0.0030396984366874175,1.9401944001921987,1.934115003318824,1.943234098628886,1.9310753048821365,277.0616754824426,1.0838139845323302,2.149642086772796,1.8982609625926976,1.9545631132474524,2.14006106927391,1.431242766418963,1.937090637902297
0.08132431905650853,-0.032051465097333184,4.847926068552754e-05,-0.03200298583664766,-0.03209994435801871,-0.03195450657596213,-0.032148423618704236,-0.029970773527991088,-0.01678007571036387,-0.03976310538270674,-0.029759492750690297,-0.037158043184404424,-0.021639355791076204,-0.030493561758025044,-0.0320480427090854,1.939328309853733,0.002933319971574257,1.9422616298253073,1.9363949898821589,1.9451949497968817,1.9334616699105844,280.29166457698074,1.09550232399526,2.1488818433964685,1.9005333454339963,1.9577624141714545,2.15535534287008,1.432004625248542,1.9392670284867437
0.0832608569619369,-0.03208390887623044,4.6999873488806596e-05,-0.03203690900274163,-0.032130908749719245,-0.03198990912925282,-0.03217790862320805,-0.030292828823956532,-0.017003092130538636,-0.03974790003881524,-0.02979093670375138,-0.03721392760556874,-0.021782377744697934,-0.03050867865870851,-0.032080559504271,1.9412913757760868,0.0028438071376640593,1.9441351829137508,1.9384475686384228,1.946978990051415,1.9356037615007586,283.3035793314558,1.1100621514243856,2.1480601146331697,1.90254145363011,1.960706821624513,2.1696008284964794,1.432714528272332,1.9412346603121224
0.08524350873658111,-0.03211276821988143,4.5820970938998775e-05,-0.032066947248942435,-0.03215858919082043,-0.03202112627800344,-0.03220441016175943,-0.030587340366115042,-0.01726513680026955,-0.03973154238475652,-0.029818069791733463,-0.03726473753745382,-0.021913491803728043,-0.03052266211005151,-0.03210949214449967,1.9430375593585285,0.0027724756374515685,1.9458100349959802,1.9402650837210769,1.9485825106334316,1.9374926080836254,286.0579003139171,1.127169973202775,2.147176112604932,1.904274256635408,1.963383867194904,2.1826602462714053,1.433371203512798,1.942985410451588
0.08727337246838893,-0.03213797228858247,4.495899210951329e-05,-0.03209301329647296,-0.03218293128069198,-0.032048054304363444,-0.0322278902728015,-0.030849647691779232,-0.01754294134713651,-0.03971401769751308,-0.02984071417234077,-0.037310228379918195,-0.02203121098900397,-0.030535484555170772,-0.03213470270520599,1.9445625743245212,0.0027203201449822125,1.9472828944695033,1.941842254179539,1.9500032146144857,1.9391219340345567,288.5110421012816,1.1453066927243227,2.1462290416489243,1.9057203968902647,1.9657806635257489,2.1943854878817595,1.4339733568743331,1.9445109329176937
0.08935157239356134,-0.03215943119831183,4.4422836821621325e-05,-0.032115008361490206,-0.03220385403513345,-0.032070585524668585,-0.03224827687195507,-0.031074617880779396,-0.017776516401240356,-0.03969531110874099,-0.029858686749512038,-0.03735014734852173,-0.02213393231265487,-0.030547117959007497,-0.03215604948685019,1.9458609820887327,0.0026878791590513327,1.9485488612477841,1.9431731029296813,1.9512367404068354,1.94048522377063,290.6150007694208,1.1605558500591755,2.1452180982485705,1.9068681813133237,1.9678838920503687,2.204616890142309,1.4345196718057855,1.945802653294588
0.09147925951920907,-0.032176771071328554,4.4212584586423204e-05,-0.03213255848674213,-0.03222098365591498,-0.03208834590215571,-0.0322651962405014,-0.03125664495571087,-0.01783795441210254,-0.039675407696417,-0.029871800388736207,-0.0373842350626804,-0.022219940984081976,-0.030557533990233938,-0.032173388023915346,1.946910160543711,0.0026751574906130416,1.9495853180343239,1.944235003053098,1.952260475524937,1.9415598455624847,292.3173482841745,1.1645668858162788,2.1441424759863503,1.9077056589153216,1.9696798866681062,2.213183653926008,1.435008817842951,1.9468518297936919
0.09365761226083551,-0.03218976672870146,4.43031837156067e-05,-0.032145463544985854,-0.03223406991241707,-0.032101160361270246,-0.03227837309613268,-0.03139374323338992,-0.01766375847164436,-0.03965430206642001,-0.029880003180600263,-0.03741241374388254,-0.022288634978892604,-0.030566723524329358,-0.03218668439916169,1.9476964848559353,0.0026806393447354688,1.9503771242006707,1.9450158455111999,1.9530577635454063,1.9423352061664643,293.59951420576505,1.1531943472832964,2.143001883352614,1.908229514600427,1.9711645494277863,2.220025815502705,1.4354403664902669,1.9476564100405322
0.09588783709499979,-0.03219897020519325,4.4634516728258794e-05,-0.03215433568846499,-0.03224360472192151,-0.03210970117173673,-0.03228823923864977,-0.03149112631079759,-0.017396035201559683,-0.03963200667856425,-0.02988349953028968,-0.037434950879984656,-0.022341593254885318,-0.030574713593673194,-0.03219611376101986,1.9482533568259184,0.002700687211173836,1.9509540440370923,1.9455526696147445,1.9536547312482662,1.9428519824035706,294.51025696129426,1.1357157929771182,2.141796993701929,1.9084528023166425,1.9723519735815511,2.225300644578585,1.435815587212176,1.948226992485058
0.09817116922752188,-0.03220460910703631,4.5144741186451414e-05,-0.03215946436584986,-0.03224975384822276,-0.03211431962466341,-0.03229489858940922,-0.03155431703767609,-0.01712213175981563,-0.03960853580771504,-0.02988251696615503,-0.03745214403586443,-0.02238051880810113,-0.030581534737066013,-0.03220187060624129,1.9485945481551612,0.0027315592082306902,1.9513261073633918,1.9458629889469305,1.9540576665716225,1.9431314297387,295.10122716118127,1.1178337606096729,2.140528578478039,1.9083900527288864,1.973257837062988,2.2291777655015874,1.4361359141377583,1.9485753463682376
