iteration,sigma_btw_squared,nu
0,2456.2070345431616,5.0
1,2456.2070345431616,1.000005709133732
2,0.024070403390159006,1.1576535809946134
3,0.010532860986535886,1.2531296507441447
4,0.007312699445575289,1.1693176127031002
5,0.005785320501087972,1.000005709133732
6,0.003969131891822891,1.000005709133732
7,0.0015267119130836467,1.000005709133732
8,8.953080494362546e-05,1.000005709133732
9,5.749951931010796e-06,1.000005709133732
10,5.749951931010796e-06,1.000005709133732
11,5.749951931010796e-06,1.000005709133732
