x_transformed,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11
-1.1,28.977718943062204,1.8855417418927483,1.9609922821579167,1.985500438094703,1.9783651575732775,1.9612553686432945,1.9483779109751551,1.9422555806147415,1.9373653915071056,1.9371553808494661,1.9371547017555113
-1.0897795591182369,29.985662116447283,1.8976017596115875,1.967517927119337,1.9914475939720873,1.9841984253684455,1.9664428423700295,1.951806168262432,1.9443569352858578,1.9395334877964627,1.9393289635698572,1.939328309853733
-1.079559118236473,30.99948362802461,1.9053460913728115,1.9724015964889263,1.9960506153541635,1.9889315626501975,1.9708805561508724,1.9549362159689263,1.9462734096031011,1.9414877235184376,1.9412919895670582,1.9412913757760868
-1.0693386773547096,31.902692577555044,1.908525567946448,1.9756446211235128,1.999354037836797,1.992603532135576,1.9746057488056967,1.9578454440377835,1.9481373755895814,1.9432271873276241,1.9430381354321378,1.9430375593585285
-1.059118236472946,32.51391484582505,1.9072989729775318,1.9772489261768373,2.001345462855325,1.9951501078862286,1.9775128685623669,1.9604717330964045,1.9501020294198095,1.9447607723549976,1.9445631537989805,1.9445625743245212
-1.0488977955911825,32.583521589729514,1.9029593486039553,1.9775292559404545,2.002216327607836,1.9966039393548314,1.9794539720150348,1.962555141204992,1.9521061841967755,1.9460927816496063,1.945861635774118,1.9458609820887327
-1.038677354709419,31.792876062094237,1.8998752558222078,1.9780310976369664,2.0031736974020244,1.9977718176144277,1.9806819587696831,1.9637019825365265,1.9533573559558053,1.9471519776084805,1.9469108233083205,1.946910160543711
-1.0284569138276554,30.015968980170605,1.9006676996933505,1.9797423564719154,2.005019479328106,1.9992441123812514,1.9814775210272577,1.9637862767340402,1.9533526778008978,1.9478847501571217,1.9476969786914142,1.9476964848559353
-1.018236472945892,27.549943193842537,1.9004230496719996,1.9807869492838626,2.0062463117307274,1.9999698427493187,1.9814450447190008,1.9632152495924942,1.9531523927559433,1.9484032318079147,1.9482537261087463,1.9482533568259184
-1.0080160320641285,24.67879613229027,1.8973236191380511,1.9806336200033208,2.0064962490435576,1.9998249254895613,1.9807510407023876,1.9624011816909268,1.9530894220061064,1.948728812692875,1.948594857346234,1.9485945481551612
-0.9977955911823648,21.62697373339633,1.8916695225970381,1.979550968473475,2.0060471438165184,1.9991421882517684,1.9797554682893186,1.9616005006063113,1.9530763328037954,1.948854523065535,1.948727658856167,1.9487273863060137
-0.9875751503006012,18.567417110422557,1.8844221923851256,1.9779665628806298,2.0052631103249015,1.9982661204213275,1.9787391493990243,1.9609114770123004,1.9529730949779067,1.948781535780157,1.9486612166434043,1.9486609792890226
-0.9773547094188376,15.629564888376086,1.876533650536531,1.9762149306824166,2.0043963873407646,1.9974082373555626,1.9778396233528799,1.960324816032378,1.9527021877476867,1.9485193233049671,1.948406367902876,1.9484061674484667
-0.9671342685370744,12.907023434775763,1.8687163144437573,1.9744860605369714,2.003562684768047,1.9966454001426575,1.9770781088981673,1.9597799832650795,1.952245327520432,1.9480798543060194,1.9479743357751407,1.9479741712437395
-0.9569138276553107,10.464695037224747,1.8614213810956668,1.9728526257958015,2.0027780407030784,1.9959638968710987,1.9764081542109448,1.9592062036629583,1.951613157193424,1.947474776206474,1.9473760881921236,1.9473759563275115
-0.9466933867735472,8.345219911456972,1.8548940878622437,1.971314090040826,2.002003351125369,1.9953043789515998,1.9757563867841046,1.9585446565529838,1.9508234345344877,1.9467150082749582,1.946622261186663,1.9466221577099287
-0.9364729458917836,6.574640883272454,1.849242277773721,1.9698336647030648,2.0011779459303423,1.9945935928207723,1.9750482487767784,1.9577562021011554,1.9498920976812868,1.945811016732669,1.9457232356938563,1.9457231559253048
-0.92625250501002,5.16724002145148,1.8444937617105137,1.968362943666369,2.0002400344278937,1.993762662025843,1.9742209336753587,1.9568205737338715,1.9488318727340868,1.9447730245360122,1.9446891941429665,1.944689133159996
-0.9160320641282568,4.1295254719545476,1.8406370590029426,1.9668562351268601,1.9991373520283335,1.992755870949293,1.9732279976606646,1.9557318275307316,1.9476533885523013,1.9436110741685302,1.9435301402358363,1.9435300929062078
-0.9058116232464932,3.4633657232090496,1.837647626202609,1.9652781099994594,1.9978319034709615,1.9915339493880102,1.972039546598403,1.9544930646175909,1.9463663383235663,1.9423350273211055,1.942255903205347,1.9422558642394123
-0.8955911823647296,3.1682791870158598,1.8355034929051985,1.9636070631019311,1.9963016792517672,1.9900747077075194,1.9706406671057166,1.953111966950095,1.9449800760617915,1.9409545573125124,1.9408761403354846,1.9408761043727687
-0.885370741482966,3.242891061290232,1.8341937101106756,1.9618371400988304,1.994541079241155,1.9883727354052152,1.9690296987406375,1.951597750342604,1.9435037938449695,1.9394791485869223,1.939400341276037,1.9394003029886573
-0.8751503006012025,3.6855687183903467,1.833721851078951,1.959978524051913,1.9925609394419455,1.9864390629022104,1.9672171979657445,1.9499596752236763,1.941946541458233,1.9379181013152822,1.93783783367518,1.937837787875124
-0.864929859719439,4.494243091697945,1.834105630585163,1.9580574866212963,1.9903885186612347,1.9843011540387128,1.9652259482672834,1.9482071067610611,1.9403172374240802,1.936280538020745,1.9361977893729863,1.9361977311173404
