x_transformed,x_real,student_t_mean_real,student_t_std_real,student_t_upper_real,student_t_lower_real,student_t_std_predictive_real,student_t_upper_predictive_real,student_t_lower_predictive_real,student_t_mean_norm,student_t_std_norm,student_t_upper_norm,student_t_lower_norm,student_t_std_predictive_norm,student_t_upper_predictive_norm,student_t_lower_predictive_norm,sigma_btw_squared,nu
-1.1,0.07943282247242814,-0.032015541667689294,3.087434338297493e-05,-0.031955029066612343,-0.032076054268766245,5.023738778776094e-05,-0.03191707819694791,-0.03211400513843068,1.9371547017555113,0.0018681045621134632,1.9408161194166087,1.933493284094414,0.0030396984366874175,1.9431124012152814,1.9311970022957412,5.749951931010796e-06,1.000005709133732
-1.0897795591182369,0.08132431905650853,-0.032051465097333184,2.7922547595219746e-05,-0.031996737909689946,-0.03210619228497642,4.847926068552754e-05,-0.031956447492392424,-0.032146482702273944,1.939328309853733,0.001689501146677801,1.9426396712530607,1.9360169484544054,0.002933319971574257,1.9450775113531507,1.9335791083543155,5.749951931010796e-06,1.000005709133732
-1.079559118236473,0.0832608569619369,-0.03208390887623044,2.5266936014400335e-05,-0.03203438659164253,-0.03213343116081834,4.6999873488806596e-05,-0.03199179081691444,-0.032176026935546435,1.9412913757760868,0.0015288188595181098,1.9442878056796278,1.9382949458725458,0.0028438071376640593,1.9468651353448863,1.9357176162072873,5.749951931010796e-06,1.000005709133732
-1.0693386773547096,0.08524350873658111,-0.03211276821988143,2.2999811420630083e-05,-0.03206768941784578,-0.03215784702191708,4.5820970938998775e-05,-0.03202296076710434,-0.03220257567265852,1.9430375593585285,0.0013916426370486378,1.945765128806494,1.940309989910563,0.0027724756374515685,1.9484715117559483,1.9376036069611087,5.749951931010796e-06,1.000005709133732
-1.059118236472946,0.08727337246838893,-0.03213797228858247,2.1230659883650657e-05,-0.032096360959842495,-0.03217958361732245,4.495899210951329e-05,-0.03204985428326661,-0.032226090293898335,1.9445625743245212,0.0012845971197948597,1.947080338413963,1.9420448102350794,0.0027203201449822125,1.949894303835105,1.9392308448139373,5.749951931010796e-06,1.000005709133732
-1.0488977955911825,0.08935157239356134,-0.03215943119831183,2.0070335793712334e-05,-0.032120094062998525,-0.03219876833362513,4.4422836821621325e-05,-0.03207236403805035,-0.03224649835857331,1.9458609820887327,0.0012143897408376373,1.9482411422439694,1.943480821933496,0.0026878791590513327,1.9511291284352692,1.9405928357421962,5.749951931010796e-06,1.000005709133732
-1.038677354709419,0.09147925951920907,-0.032176771071328554,1.9600576098768166e-05,-0.03213835464809873,-0.03221518749455838,4.4212584586423204e-05,-0.032090115997875736,-0.03226342614478137,1.946910160543711,0.0011859661329786232,1.9492346114512333,1.9445857096361885,0.0026751574906130416,1.952153372878285,1.9416669482091369,5.749951931010796e-06,1.000005709133732
-1.0284569138276554,0.09365761226083551,-0.03218976672870146,1.980409136847167e-05,-0.03215095142287272,-0.032228582034530204,4.43031837156067e-05,-0.03210293408421841,-0.032276599373184514,1.9476964848559353,0.0011982801698822393,1.950045070832293,1.9453478988795776,0.0026806393447354688,1.952950441427158,1.9424425282847126,5.749951931010796e-06,1.000005709133732
-1.018236472945892,0.09588783709499979,-0.03219897020519325,2.0534605697631235e-05,-0.03215872311758916,-0.03223921729279734,4.4634516728258794e-05,-0.032111488159938514,-0.03228645225044799,1.9482533568259184,0.0012424811795705866,1.9506885751893455,1.9458181384624913,0.002700687211173836,1.9535466064933271,1.9429601071585096,5.749951931010796e-06,1.000005709133732
-1.0080160320641285,0.09817116922752188,-0.03220460910703631,2.1621230408643677e-05,-0.03216223227413393,-0.032246985939938695,4.5144741186451414e-05,-0.03211612704021949,-0.032293091173853136,1.9485945481551612,0.0013082292524856185,1.9511586303735549,1.9460304659367675,0.0027315592082306902,1.953948305824932,1.9432407904853903,5.749951931010796e-06,1.000005709133732
-0.9977955911823648,0.10050887327759882,-0.03220680453590414,2.2910499163392877e-05,-0.032161900782676056,-0.03225170828913222,4.577620587514708e-05,-0.03211708482103996,-0.032296524250768316,1.9487273863060137,0.001386238647298058,1.9514443641286954,1.946010408483332,0.00276976705126506,1.9541560299720588,1.9432987426399686,5.749951931010796e-06,1.000005709133732
-0.9875751503006012,0.10290224397821154,-0.03220570702076114,2.4280953024428696e-05,-0.03215811722732295,-0.032253296814199334,4.6477249619384085e-05,-0.03211461328540667,-0.032296800756115615,1.9486609792890226,0.001469160284795255,1.9515404805347378,1.9457814780433074,0.0028121848931801177,1.9541727603975232,1.943149198180522,5.749951931010796e-06,1.000005709133732
