x_real,fgpr_mean_real,fgpr_std_pred_real,fgpr_1sig_upper_real,fgpr_1sig_lower_real,fgpr_2sig_upper_real,fgpr_2sig_lower_real,sample_0_real,sample_1_real,fgpr_mean_norm,fgpr_std_pred_norm,fgpr_1sig_upper_norm,fgpr_1sig_lower_norm,fgpr_2sig_upper_norm,fgpr_2sig_lower_norm,sample_0_norm,sample_1_norm
0.07943282247242814,-0.02621177122214677,0.005794750590434134,-0.020417020631712638,-0.03200652181258091,-0.014622270041278503,-0.03780127240301504,-0.016057205007704092,-0.030730063168327677,1.3217032537811304,0.2921947031094088,1.6138979568905392,1.0295085506717216,1.9060926599999481,0.7373138475623128,1.223462590490147,1.363416412019311
0.08132431905650853,-0.026246785672797993,0.0057367596775272514,-0.020510025995270742,-0.03198354535032524,-0.01477326631774349,-0.037720305027852494,-0.01617038607168519,-0.03079906378209741,1.323468823645252,0.28927056732212536,1.6127393909673775,1.0341982563231267,1.902009958289503,0.7449276890010014,1.2320863078597832,1.366477797501591
0.0832608569619369,-0.02624430148984116,0.005687771822333701,-0.020556529667507456,-0.03193207331217486,-0.014868757845173757,-0.037619845134508556,-0.016281426561273304,-0.030861722208534982,1.3233435611183817,0.28680040202668095,1.6101439631450627,1.0365431590917007,1.8969443651717435,0.7497427570650198,1.2405469263158335,1.3692577959183967
0.08524350873658111,-0.026211438486447726,0.005645062370016313,-0.020566376116431414,-0.03185650085646404,-0.0149213137464151,-0.03750156322648035,-0.01638654463691483,-0.0309176401363342,1.3216864759047957,0.28464681913383905,1.6063332950386346,1.0370396567709568,1.8909801141724738,0.7523928376371176,1.2485562923960458,1.3717387351885164
0.08727337246838893,-0.026165567476916226,0.0056079494061533584,-0.020557618070762868,-0.031773516883069584,-0.014949668664609509,-0.03738146628922294,-0.016480769702121284,-0.030966402216681517,1.319373474542233,0.2827754337673407,1.6021489083095737,1.0365980407748923,1.8849243420769144,0.7538226070075515,1.2557356764987762,1.3739021873189454
0.08935157239356134,-0.026136580535589444,0.005580811942423541,-0.020555768593165904,-0.03171739247801299,-0.014974956650742362,-0.03729820442043653,-0.016557653234597205,-0.031007575429414777,1.3179118360156308,0.28140705336270927,1.59931888937834,1.0365047826529215,1.8807259427410492,0.7550977292902122,1.2615937399515311,1.3757289402829271
0.09147925951920907,-0.026169413176051717,0.005574164362105405,-0.020595248813946313,-0.031743577538157125,-0.015021084451840907,-0.037317741900262526,-0.016608989497362153,-0.031040711525118378,1.3195673902077316,0.2810718555440732,1.6006392457518048,1.0384955346636584,1.881711101295878,0.7574236791195852,1.2655052548757255,1.3771991063696372
0.09365761226083551,-0.026284361067368405,0.00559164644558177,-0.020692714621786637,-0.03187600751295017,-0.015101068176204865,-0.037467653958531945,-0.016631934612647732,-0.031065665837566075,1.3253635266336508,0.2819533727226629,1.6073168993563136,1.043410153910988,1.8892702720789765,0.7614567811883249,1.2672535348642366,1.3783062670987083
0.09588783709499979,-0.02644069552012477,0.005619720715101496,-0.020820974805023273,-0.03206041623522626,-0.015201254089921777,-0.037680136950327764,-0.016635414837532912,-0.03108287467225617,1.3332465404572873,0.2833689906546704,1.6166155311119577,1.049877549802617,1.899984521766628,0.7665085591479465,1.267518707100094,1.3790697802590843
0.09817116922752188,-0.026605325205592372,0.005648123046938348,-0.020957202158654025,-0.03225344825253072,-0.015309079111715676,-0.03790157129946907,-0.016627886259072196,-0.031092821142597822,1.3415478333805082,0.28480115081224194,1.62634898419275,1.0567466825682663,1.9111501350049922,0.7719455317560243,1.2669450746340554,1.379511080390203
0.10050887327759882,-0.026757861158598236,0.005672224359979398,-0.02108563679861884,-0.03243008551857764,-0.01541341243863944,-0.038102309878557034,-0.016616186157395334,-0.031095970448260825,1.3492393115220584,0.2860164362501004,1.6352557477721588,1.0632228752719581,1.9212721840222593,0.7772064390218576,1.2660535971509128,1.3796508072434766
0.10290224397821154,-0.026887236565170877,0.005691048821873807,-0.02119618774329707,-0.032578285387044686,-0.015505138921423264,-0.03826933420891849,-0.016605856155708216,-0.03109277054669044,1.3557629414735453,0.28696564156421894,1.6427285830377643,1.0687972999093263,1.9296942246019833,0.7818316583451074,1.2652665130588916,1.379508835575732
0.10535260689321052,-0.02698884346760446,0.005705319947925297,-0.021283523519679163,-0.032694163415529755,-0.015578203571753867,-0.038399483363455056,-0.01660140718121978,-0.031083652803134465,1.3608863714170976,0.28768524931516093,1.6485716207322585,1.0732011221019366,1.9362568700474194,0.7855158727867757,1.264927527921065,1.3791043039892945
0.10786131915147663,-0.027062252432884702,0.005716204801518317,-0.021346047631366386,-0.03277845723440302,-0.01562984282984807,-0.038494662035921334,-0.01660653558430736,-0.031069032619891152,1.3645879476076308,0.28823410754717044,1.6528220551548012,1.0763538400604604,1.9410561627019716,0.7881197325132899,1.265318281437857,1.3784556428501529
0.11042977019856483,-0.027109499107842362,0.005724712308842682,-0.021384786798999682,-0.03283421141668504,-0.015660074490156998,-0.03855892372552773,-0.016624298045184928,-0.03104931004546554,1.3669703155709645,0.2886630903891495,1.6556334059601139,1.078307225181815,1.9442964963492635,0.7896441347926655,1.266671674284764,1.3775806013147074
0.11305938256624523,-0.027133876622317026,0.0057315128906425886,-0.021402363731674437,-0.032865389512959614,-0.01567085084103185,-0.0385969024036022,-0.01665725141765044,-0.031024870364300138,1.3681995281994128,0.28900600315976555,1.6572055313591783,1.0791935250396474,1.946211534518944,0.7901875218798817,1.2691825233660765,1.3764962734946535
0.1157516126603703,-0.027139153619944033,0.005736966339264588,-0.021402187280679445,-0.032876119959208625,-0.015665220941414856,-0.03861308629847321,-0.01670756237154657,-0.03099608466772672,1.3684656157092838,0.2892809880406779,1.6577466037499617,1.079184627668606,1.9470275917906397,0.789903639627928,1.273015915911931,1.3752191237886922
0.11850795156750221,-0.02712913505731874,0.005741219401759177,-0.021387915655559562,-0.03287035445907792,-0.015646696253800385,-0.03861157386083709,-0.01677709055836159,-0.030963310406765282,1.367960439362831,0.28949544461020893,1.65745588397304,1.0784649947526221,1.946951328583249,0.7889695501424132,1.2783135461976485,1.3737650114088424
0.12132992588074816,-0.027107489634863927,0.0057443027484528845,-0.02136318688641104,-0.032851792383316814,-0.015618884137958158,-0.038596095131769696,-0.016867448001298344,-0.0309268919273791,1.3668689898363748,0.28965091938995846,1.6565199092263332,1.0772180704464165,1.9461708286162918,0.7875671510564579,1.2851982407103253,1.372149214128377
