x_transformed,x_real,fgpr_mean_real,fgpr_std_real,fgpr_upper_real,fgpr_lower_real,fgpr_std_predictive_real,fgpr_upper_predictive_real,fgpr_lower_predictive_real,fgpr_mean_norm,fgpr_std_norm,fgpr_upper_norm,fgpr_lower_norm,fgpr_std_predictive_norm,fgpr_upper_predictive_norm,fgpr_lower_predictive_norm,sigma_btw_squared,nll
-1.1,0.07943282247242814,-0.03104978941047301,0.0018545500265959877,-0.027414938150817074,-0.03468464067012895,0.004671881394196025,-0.021893070137806028,-0.04020650868313999,1.7609249826179634,0.10517699267377843,1.9670681002608021,1.5547818649751246,0.26495615007594653,2.280229494249208,1.2416204709867187,0.059139561675167436,623.259317864246
-1.0897795591182369,0.08132431905650853,-0.031150721389990706,0.0018164090768310603,-0.02759062501821018,-0.034710817761771234,0.004656872544388786,-0.02202341892239528,-0.04027802385758613,1.7666491323675215,0.10301390710775578,1.9685526802054776,1.5647455845295655,0.2641049540102813,2.2842853303662802,1.2490129343687628,0.059139561675167436,623.259317864246
-1.079559118236473,0.0832608569619369,-0.031259365332205684,0.001797840396901074,-0.027735662904328384,-0.034783067760082984,0.004649661283686934,-0.022146196675869017,-0.04037253398854235,1.7728106502292795,0.10196082259401926,1.972650190347635,1.572971110110924,0.2636959821825439,2.2896452781749814,1.2559760222835776,0.059139561675167436,623.259317864246
-1.0693386773547096,0.08524350873658111,-0.03144747614643903,0.0017842625898893696,-0.027950385731293704,-0.03494456656158435,0.004644428161783379,-0.02234456422056004,-0.04055038807231802,1.7834789683909602,0.1011907851789503,1.9818092629090323,1.5851486738728882,0.2633991964306268,2.29973190695178,1.2672260298301405,0.059139561675167436,623.259317864246
-1.059118236472946,0.08727337246838893,-0.03176698311502005,0.0017688868832275446,-0.028300028531168753,-0.03523393769887134,0.004638542957216444,-0.0226756059781339,-0.040858360251906194,1.8015991493576329,0.10031878358086278,1.998220352148992,1.6049779465662737,0.26306542915083203,2.317197916070837,1.2860003826444288,0.059139561675167436,623.259317864246
-1.0488977955911825,0.08935157239356134,-0.032144226278029764,0.0017486548664771388,-0.028716925718343875,-0.03557152683771565,0.00463086534055375,-0.0230678969932896,-0.04122055556276993,1.822993719912806,0.09917136633839616,2.0173660262336903,1.6286214135919215,0.2626300089033845,2.337739078622873,1.3082483612027387,0.059139561675167436,623.259317864246
-1.038677354709419,0.09147925951920907,-0.032187708867350555,0.0017399714130430302,-0.02877742756365695,-0.03559799017104416,0.004627593378689919,-0.02311779251002229,-0.04125762522467882,1.825459745586335,0.09867890212598626,2.018866839787221,1.632052651385449,0.26244444631189556,2.339841408300206,1.311078082872464,0.059139561675167436,623.259317864246
-1.0284569138276554,0.09365761226083551,-0.031668400538038946,0.001755403014856974,-0.028227873850566246,-0.03510892722551164,0.0046334177131850274,-0.022587068694866354,-0.04074973238121154,1.7960082411436682,0.09955407370273199,1.991130640115269,1.6008858421720673,0.26277476147068696,2.3110373096723182,1.2809791726150181,0.059139561675167436,623.259317864246
-1.018236472945892,0.09588783709499979,-0.031082075173839926,0.0017683899095881032,-0.0276160946404232,-0.03454805570725665,0.004638353461371917,-0.02199106944198427,-0.04017308090569558,1.7627560033229384,0.10029059874244647,1.9593219648460916,1.5661900417997852,0.2630546822835242,2.2783337065632723,1.2471783000826044,0.059139561675167436,623.259317864246
-1.0080160320641285,0.09817116922752188,-0.03063133932984016,0.001775587275205242,-0.027151252219030274,-0.034111426440650044,0.004641102254008049,-0.021534946063416716,-0.0397277325962636,1.7371934464318806,0.10069878253901612,1.934559433495383,1.539827459368378,0.26321057440765466,2.2530766926209838,1.2213102002427774,0.059139561675167436,623.259317864246
