x_real,fgpr_mean_real,fgpr_std_pred_real,fgpr_1sig_upper_real,fgpr_1sig_lower_real,fgpr_2sig_upper_real,fgpr_2sig_lower_real,sample_0_real,sample_1_real,sample_2_real,sample_3_real,sample_4_real,sample_5_real,sample_6_real,fgpr_mean_norm,fgpr_std_pred_norm,fgpr_1sig_upper_norm,fgpr_1sig_lower_norm,fgpr_2sig_upper_norm,fgpr_2sig_lower_norm,sample_0_norm,sample_1_norm,sample_2_norm,sample_3_norm,sample_4_norm,sample_5_norm,sample_6_norm
0.07943282247242814,-0.03104978941047301,0.004671881394196025,-0.026377908016276985,-0.03572167080466904,-0.02170602662208096,-0.04039355219886506,-0.021563093836096482,-0.026322922491223245,-0.016712849107145898,-0.031651410339342094,-0.02341832845268166,-0.03101478256063624,-0.0333243577524878,1.7609249826179634,0.26495615007594653,2.02588113269391,1.4959688325420168,2.290837282769856,1.2310126824660703,1.677623875954284,1.928291474227228,1.859025433975127,1.7734659934405976,2.6554068950528524,1.237602679470087,2.0157458282977823
0.08132431905650853,-0.031150721389990706,0.004656872544388786,-0.02649384884560192,-0.03580759393437949,-0.021836976301213132,-0.04046446647876828,-0.021765231285322904,-0.02642292295113521,-0.017722544079276936,-0.03165582095676793,-0.023523992327863445,-0.03097073701788056,-0.03347867437068268,1.7666491323675215,0.2641049540102813,2.0307540863778026,1.5025441783572402,2.294859040388084,1.2384392243469589,1.693350311762817,1.935617029903325,1.9713371422730162,1.7737131255567005,2.6673881337344536,1.2358451020430463,2.0250802341301086
0.0832608569619369,-0.031259365332205684,0.004649661283686934,-0.02660970404851875,-0.03590902661589262,-0.021960042764831815,-0.04055868789957955,-0.021953404827045633,-0.02651601948948483,-0.018819358983164922,-0.0316583524577827,-0.02362541245943835,-0.030924545716165038,-0.03362243461694629,1.7728106502292795,0.2636959821825439,2.0365066324118235,1.5091146680467356,2.3002026145943675,1.2454186858641916,1.7079903457401526,1.9424368372875351,2.09333948846897,1.7738549685556038,2.6788881738515498,1.2340019010256098,2.0337760991437204
0.08524350873658111,-0.03144747614643903,0.004644428161783379,-0.026803047984655652,-0.03609190430822241,-0.02215861982287227,-0.040736332470005784,-0.022125226853898085,-0.026601625046300783,-0.019943726778619945,-0.03165896101260829,-0.023722215717094607,-0.03087617192646832,-0.03375463633507795,1.7834789683909602,0.2633991964306268,2.046878164821587,1.5200797719603334,2.310277361252214,1.2566805755297066,1.7213582203528393,1.9487078911725937,2.218406633842748,1.77388906660295,2.689864706116156,1.2320716107961769,2.0417728042504466
0.08727337246838893,-0.03176698311502005,0.004638542957216444,-0.027128440157803604,-0.03640552607223649,-0.02248989720058716,-0.041044069029452936,-0.022278074453936102,-0.026679120554423827,-0.020984781208703274,-0.03165760203158594,-0.023814009644801067,-0.03082557841619033,-0.03387421729680112,1.8015991493576329,0.26306542915083203,2.0646645785084647,1.5385337202068008,2.327730007659297,1.2754682910559687,1.7332498712056885,1.954384841657647,2.334206558276332,1.7738129212873692,2.700273229894795,1.2300527456385244,2.049006096682596
0.08935157239356134,-0.032144226278029764,0.00463086534055375,-0.027513360937476014,-0.036775091618583514,-0.022882495596922264,-0.04140595695913726,-0.02240906982534384,-0.02674785343933593,-0.021752109225294095,-0.03165423015349214,-0.023900381612597832,-0.030772727442904213,-0.033980052114743566,1.822993719912806,0.2626300089033845,2.0856237288161905,1.5603637110094213,2.348253737719575,1.297733702106037,1.743441403292111,1.9594198842529076,2.419558989205305,1.7736239909658047,2.710066957029942,1.227943799492485,2.055407903263256
0.09147925951920907,-0.032187708867350555,0.004627593378689919,-0.027560115488660636,-0.036815302246040474,-0.022932522109970717,-0.04144289562473039,-0.022515081544767047,-0.026807140696188735,-0.02193749269152329,-0.03164879960170495,-0.023980900425244023,-0.030717580552190222,-0.0340709569960508,1.825459745586335,0.26244444631189556,2.0879041918982306,1.5630152992744395,2.350348638210126,1.300570852962544,1.7516891896713378,1.9637629852880492,2.4401798047556107,1.7733197107199343,2.7191969942447747,1.2257432378867847,2.06090661794601
0.09365761226083551,-0.031668400538038946,0.0046334177131850274,-0.02703498282485392,-0.03630181825122397,-0.02240156511166889,-0.040935235964409,-0.022595008221317534,-0.0268567460596202,-0.021404820479058694,-0.031641302123331654,-0.024055372332992847,-0.03066007837484178,-0.03414651019368567,1.7960082411436682,0.26277476147068696,2.058783002614355,1.5332334796729812,2.321557764085042,1.2704587182022942,1.7579075413571386,1.967396837092032,2.380928914342193,1.7728996181304086,2.7276413722337307,1.2234486917740508,2.065476729816679
0.09588783709499979,-0.031082075173839926,0.004638353461371917,-0.026443721712468008,-0.03572042863521184,-0.021805368251096094,-0.04035878209658376,-0.022651774342031864,-0.02689729545788206,-0.02047139661512115,-0.0316317999627494,-0.024124063840525695,-0.030600123068219617,-0.03420776660526912,1.7627560033229384,0.2630546822835242,2.0258106856064626,1.4997013210394141,2.288865367889987,1.2366466387558899,1.762323985499131,1.9703672921765487,2.277101093447353,1.7723672008233704,2.735430309992583,1.2210562568769507,2.0691820482214007
0.09817116922752188,-0.03063133932984016,0.004641102254008049,-0.02599023707583211,-0.03527244158384821,-0.02134913482182406,-0.03991354383785626,-0.022688488115187363,-0.026929476892431362,-0.019378846633571086,-0.03162036235432941,-0.024187272083251242,-0.030537612104512474,-0.0342558814370192,1.7371934464318806,0.26321057440765466,2.000404020839535,1.4739828720242258,2.2636145952471898,1.2107722976165713,1.7651803428887618,1.9727247502395928,2.1555731486565275,1.7717263380826056,2.7425974997387144,1.218561841962741,2.072092450039189
